"techn_field_nr";"x";"y";"CN_1st";"CN_2nd";"CN_3rd";"JP_1st";"JP_2nd";"JP_3rd";"US_1st";"US_2nd";"US_3rd";"KR_1st";"KR_2nd";"KR_3rd";"distance_6";"distance_cluster";"CN_d6_1st";"CN_d6_2nd";"CN_d6_3rd";"JP_d6_1st";"JP_d6_2nd";"JP_d6_3rd";"US_d6_1st";"US_d6_2nd";"US_d6_3rd";"KR_d6_1st";"KR_d6_2nd";"KR_d6_3rd";"CN_dcl_1st";"CN_dcl_2nd";"CN_dcl_3rd";"JP_dcl_1st";"JP_dcl_2nd";"JP_dcl_3rd";"US_dcl_1st";"US_dcl_2nd";"US_dcl_3rd";"KR_dcl_1st";"KR_dcl_2nd";"KR_dcl_3rd"
"1";81,0180779806534;102,517630765445;0;0;0;1;1;1;0;0;0;0;0;1;7,10309424348289;4,00098648249595;0;0;0;7,10309424348289;7,10309424348289;7,10309424348289;0;0;0;0;0;7,10309424348289;0;0;0;4,00098648249595;4,00098648249595;4,00098648249595;0;0;0;0;0;4,00098648249595
"2";79,4198093712892;101,269527776642;1;1;1;0;0;0;0;0;0;1;1;0;6,8364201013091;3,26032030859579;6,8364201013091;6,8364201013091;6,8364201013091;0;0;0;0;0;0;6,8364201013091;6,8364201013091;0;3,26032030859579;3,26032030859579;3,26032030859579;0;0;0;0;0;0;3,26032030859579;3,26032030859579;0
"3";74,269782065089;103,315634107374;1;1;1;0;0;0;1;0;0;1;0;0;3,55094431249724;2,92409142274497;3,55094431249724;3,55094431249724;3,55094431249724;0;0;0;3,55094431249724;0;0;3,55094431249724;0;0;2,92409142274497;2,92409142274497;2,92409142274497;0;0;0;2,92409142274497;0;0;2,92409142274497;0;0
"4";81,8777075308947;98,0531721723687;0;0;0;1;1;1;0;0;1;1;1;1;10,8843900044129;7,29809644968124;0;0;0;10,8843900044129;10,8843900044129;10,8843900044129;0;0;10,8843900044129;10,8843900044129;10,8843900044129;10,8843900044129;0;0;0;7,29809644968124;7,29809644968124;7,29809644968124;0;0;7,29809644968124;7,29809644968124;7,29809644968124;7,29809644968124
"5";78,0159419243102;102,448402553013;1;1;1;1;1;0;0;0;0;1;1;0;5,06517256934597;1,4537855017965;5,06517256934597;5,06517256934597;5,06517256934597;5,06517256934597;5,06517256934597;0;0;0;0;5,06517256934597;5,06517256934597;0;1,4537855017965;1,4537855017965;1,4537855017965;1,4537855017965;1,4537855017965;0;0;0;0;1,4537855017965;1,4537855017965;0
"6";75,289319109616;106,717067588319;1;0;1;1;1;1;0;0;0;0;0;0;0;3,61366274876164;0;0;0;0;0;0;0;0;0;0;0;0;3,61366274876164;0;3,61366274876164;3,61366274876164;3,61366274876164;3,61366274876164;0;0;0;0;0;0
"7";74,1996736563396;105,705092244316;0;1;1;1;0;0;1;1;0;0;1;1;1,48708483642189;3,62559138670261;0;1,48708483642189;1,48708483642189;1,48708483642189;0;0;1,48708483642189;1,48708483642189;0;0;1,48708483642189;1,48708483642189;0;3,62559138670261;3,62559138670261;3,62559138670261;0;0;3,62559138670261;3,62559138670261;0;0;3,62559138670261;3,62559138670261
"8";73,4120204754517;106,189333583835;1;1;1;0;0;0;1;1;0;0;0;0;1,95006495823188;4,54902180681915;1,95006495823188;1,95006495823188;1,95006495823188;0;0;0;1,95006495823188;1,95006495823188;0;0;0;0;4,54902180681915;4,54902180681915;4,54902180681915;0;0;0;4,54902180681915;4,54902180681915;0;0;0;0
"9";76,8010115740617;104,270866275497;1;1;1;0;0;0;0;0;0;0;1;0;2,87560688723511;0,738174754561635;2,87560688723511;2,87560688723511;2,87560688723511;0;0;0;0;0;0;0;2,87560688723511;0;0,738174754561635;0,738174754561635;0,738174754561635;0;0;0;0;0;0;0;0,738174754561635;0
"10";74,0258472373082;108,080445176231;0;0;1;0;1;1;1;0;0;0;0;0;1,85880596602597;5,44844355218077;0;0;1,85880596602597;0;1,85880596602597;1,85880596602597;1,85880596602597;0;0;0;0;0;0;0;5,44844355218077;0;5,44844355218077;5,44844355218077;5,44844355218077;0;0;0;0;0
