"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AD";0,173553719008264;0,142857142857143;2,664;2,807;"1st"
"AE";0,36734693877551;0,166666666666667;1,95;2,585;"1st"
"AG";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"AI";0,5;0,5;1;1;"1st"
"AL";0,171597633136095;0,142857142857143;2,661;2,807;"1st"
"AM";1;1;0;0;"1st"
"AN";0,28;0,25;1,922;2;"1st"
"AR";0,0364312376384223;0,024390243902439;5,25;5,358;"1st"
"AS";1;1;0;0;"1st"
"AT";0,0359843461837044;0,0227272727272727;5,336;5,459;"1st"
"AU";0,0333052578892369;0,0217391304347826;5,398;5,524;"1st"
"AZ";0,36;0,333333333333333;1,522;1,585;"1st"
"BA";0,310650887573964;0,1;2,573;3,322;"1st"
"BB";0,0802469135802469;0,0714285714285714;3,725;3,807;"1st"
"BD";0,21875;0,2;2,25;2,322;"1st"
"BE";0,051254287113458;0,0256410256410256;5,152;5,285;"1st"
"BG";0,0501525619772537;0,0285714285714286;5,024;5,129;"1st"
"BH";1;1;0;0;"1st"
"BI";0,5;0,5;1;1;"1st"
"BJ";1;1;0;0;"1st"
"BM";0,1015625;0,0666666666666667;3,707;3,907;"1st"
"BN";1;1;0;0;"1st"
"BO";0,0696014277215943;0,0588235294117647;4,032;4,087;"1st"
"BR";0,034819336302104;0,025;5,343;5,322;"1st"
"BS";0,0772641762966944;0,0454545454545455;4,18;4,459;"1st"
"BU";0,1015625;0,0833333333333333;3,695;3,585;"1st"
"BY";1;1;0;0;"1st"
"BZ";0,5;0,5;1;1;"1st"
"CA";0,0361091484545009;0,0212765957446809;5,375;5,555;"1st"
"CC";0,5;0,5;1;1;"1st"
"CD";0,5;0,5;1;1;"1st"
"CH";0,0375230488420348;0,0232558139534884;5,359;5,426;"1st"
"CI";0,265625;0,166666666666667;2,18;2,585;"1st"
"CL";0,0733186504516582;0,0416666666666667;4,275;4,585;"1st"
"CM";0,166666666666667;0,166666666666667;2,585;2,585;"1st"
"CN";0,041423721689926;0,0232558139534884;5,319;5,426;"1st"
"CO";0,0558488076161749;0,0384615384615385;4,659;4,7;"1st"
"CR";0,0791015625;0,0588235294117647;4,094;4,087;"1st"
"CS";0,0577334969797608;0,0333333333333333;4,802;4,907;"1st"
"CU";0,132956573468174;0,0769230769230769;3,416;3,7;"1st"
"CY";0,0739644970414201;0,0714285714285714;3,921;3,807;"1st"
"CZ";0,0971970624938898;0,0476190476190476;4,272;4,392;"1st"
"DD";0,0482182457451261;0,03125;5,043;5;"1st"
"DE";0,0386318267977287;0,02;5,349;5,644;"1st"
"DK";0,038643627757831;0,0238095238095238;5,26;5,392;"1st"
"DO";0,074910820451843;0,0714285714285714;3,823;3,807;"1st"
"DZ";0,21;0,1;2,784;3,322;"1st"
"EC";0,0798611111111111;0,0714285714285714;3,887;3,807;"1st"
"EG";0,106776859504132;0,0625;3,822;4;"1st"
"ES";0,0454954554862092;0,0294117647058824;5,184;5,087;"1st"
"ET";0,277777777777778;0,25;1,918;2;"1st"
"FI";0,0370341289953309;0,0232558139534884;5,294;5,426;"1st"
"FR";0,0362126168843025;0,0212765957446809;5,412;5,555;"1st"
"GA";0,26530612244898;0,2;2,128;2,322;"1st"
"GB";0,0330193744740405;0,0222222222222222;5,431;5,492;"1st"
"GC";0,375;0,333333333333333;1,5;1,585;"1st"
"GH";0,375;0,333333333333333;1,5;1,585;"1st"
"GL";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"GN";0,28;0,25;1,922;2;"1st"
"GR";0,0424804949379908;0,027027027027027;5,168;5,209;"1st"
"GT";0,111111111111111;0,0909090909090909;3,308;3,459;"1st"
"GY";0,755102040816326;0,5;0,592;1;"1st"
"HK";0,0554792435520527;0,0384615384615385;4,852;4,7;"1st"
"HN";0,25;0,25;2;2;"1st"
"HR";0,387755102040816;0,25;1,664;2;"1st"
"HT";0,351851851851852;0,333333333333333;1,542;1,585;"1st"
"HU";0,0574845102389808;0,0277777777777778;4,949;5,17;"1st"
"ID";0,0777777777777778;0,0526315789473684;4,147;4,248;"1st"
"IE";0,0418737240075614;0,0303030303030303;5,103;5,044;"1st"
"IL";0,0575373325223246;0,0333333333333333;4,89;4,907;"1st"
"IN";0,0603285767824697;0,0263157894736842;5,084;5,248;"1st"
"IQ";0,1015625;0,0833333333333333;3,453;3,585;"1st"
"IR";0,0597660631309085;0,0476190476190476;4,367;4,392;"1st"
"IS";0,077275889613234;0,0555555555555556;4,262;4,17;"1st"
"IT";0,0458703227761227;0,024390243902439;5,196;5,358;"1st"
"JA";1;1;0;0;"1st"
"JM";0,14;0,0833333333333333;3,309;3,585;"1st"
"JO";0,25;0,2;2,156;2,322;"1st"
"JP";0,039379648334702;0,0333333333333333;5,249;4,907;"1st"
"KE";0,09375;0,0833333333333333;3,578;3,585;"1st"
"KI";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"KN";0,555555555555556;0,5;0,918;1;"1st"
"KP";0,0922070196311719;0,0769230769230769;3,626;3,7;"1st"
"KR";0,0602371222622898;0,0434782608695652;4,928;4,524;"1st"
"KW";0,134086692528251;0,0769230769230769;3,483;3,7;"1st"
"KY";0,164444444444444;0,125;2,79;3;"1st"
"LA";0,333333333333333;0,25;1,792;2;"1st"
"LB";0,169421487603306;0,111111111111111;2,861;3,17;"1st"
"LI";0,0513619509307971;0,0344827586206897;4,923;4,858;"1st"
"LK";0,375;0,333333333333333;1,5;1,585;"1st"
"LR";0,166666666666667;0,166666666666667;2,585;2,585;"1st"
"LT";1;1;0;0;"1st"
"LU";0,113133424265365;0,0454545454545455;4,355;4,459;"1st"
"LY";0,25;0,25;2;2;"1st"
"MA";0,0703969754253308;0,0454545454545455;4,522;4,459;"1st"
"MC";0,0432674293019463;0,04;4,88;4,644;"1st"
"MD";1;1;0;0;"1st"
"MG";0,21875;0,2;2,25;2,322;"1st"
"ML";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"MN";0,12;0,111111111111111;3,19;3,17;"1st"
"MO";0,164444444444444;0,142857142857143;2,79;2,807;"1st"
"MR";1;1;0;0;"1st"
"MT";0,5;0,5;1;1;"1st"
"MU";0,238754325259516;0,166666666666667;2,375;2,585;"1st"
"MW";0,5;0,5;1;1;"1st"
"MX";0,042886381275165;0,025;5,228;5,322;"1st"
"MY";0,0447904652056901;0,0416666666666667;4,798;4,585;"1st"
"NC";0,36;0,333333333333333;1,522;1,585;"1st"
"NG";0,116734693877551;0,0714285714285714;3,471;3,807;"1st"
"NL";0,0430536717140701;0,0256410256410256;5,236;5,285;"1st"
"NO";0,0366797590451114;0,0256410256410256;5,268;5,285;"1st"
"NZ";0,0539710290404943;0,0303030303030303;5,063;5,044;"1st"
"PA";0,138739595719382;0,05;4,035;4,322;"1st"
"PC";1;1;0;0;"1st"
"PE";0,0624793388429752;0,0454545454545455;4,495;4,459;"1st"
"PH";0,0529416715764666;0,0454545454545455;4,643;4,459;"1st"
"PK";0,109375;0,1;3,328;3,322;"1st"
"PL";0,0462545283737999;0,0256410256410256;5,13;5,285;"1st"
"PR";0,17;0,111111111111111;3,039;3,17;"1st"
"PT";0,0579591836734694;0,0333333333333333;4,761;4,907;"1st"
"PY";0,182222222222222;0,125;2,735;3;"1st"
"QA";1;1;0;0;"1st"
"RH";0,28;0,25;1,922;2;"1st"
"RO";0,0645064077052193;0,024390243902439;4,907;5,358;"1st"
"RU";0,0605416530919529;0,0357142857142857;4,747;4,807;"1st"
"SA";0,050496;0,0344827586206897;4,797;4,858;"1st"
"SC";0,0581545857988166;0,0476190476190476;4,543;4,392;"1st"
"SD";0,5;0,5;1;1;"1st"
"SE";0,0335462114932078;0,0232558139534884;5,402;5,426;"1st"
"SG";0,0542000044082964;0,0344827586206897;4,802;4,858;"1st"
"SI";0,36;0,333333333333333;1,522;1,585;"1st"
"SK";0,209829867674858;0,125;2,562;3;"1st"
"SL";0,1796875;0,166666666666667;2,514;2,585;"1st"
"SM";0,137777777777778;0,111111111111111;3,006;3,17;"1st"
"SN";0,190082644628099;0,166666666666667;2,482;2,585;"1st"
"SR";1;1;0;0;"1st"
"ST";0,0622395840543077;0,04;4,579;4,644;"1st"
"SU";0,0599608611052666;0,032258064516129;4,854;4,954;"1st"
"SV";0,0834567901234568;0,0769230769230769;3,79;3,7;"1st"
"SY";0,15625;0,142857142857143;2,75;2,807;"1st"
"SZ";0,333333333333333;0,333333333333333;1,585;1,585;"1st"
"TD";0,3;0,166666666666667;2,039;2,585;"1st"
"TH";0,0784207679826933;0,0555555555555556;4,062;4,17;"1st"
"TN";0,144640998959417;0,1;3,224;3,322;"1st"
"TP";1;1;0;0;"1st"
"TR";0,0609859553209539;0,0434782608695652;4,466;4,524;"1st"
"TS";1;1;0;0;"1st"
"TT";0,138321995464853;0,0909090909090909;3,137;3,459;"1st"
"TW";0,0411481022545694;0,0333333333333333;5,183;4,907;"1st"
"TZ";0,1875;0,166666666666667;2,5;2,585;"1st"
"UA";1;1;0;0;"1st"
"UG";0,5;0,5;1;1;"1st"
"UK";0,112456747404844;0,0909090909090909;3,29;3,459;"1st"
"US";0,03631081713313;0,0217391304347826;5,374;5,524;"1st"
"UY";0,0761245674740484;0,0769230769230769;3,925;3,7;"1st"
"VA";0,421487603305785;0,333333333333333;1,349;1,585;"1st"
"VE";0,168163389727176;0,0666666666666667;3,652;3,907;"1st"
"VG";0,5;0,5;1;1;"1st"
"VN";0,283950617283951;0,25;1,891;2;"1st"
"WS";0,5;0,5;1;1;"1st"
"XA";1;1;0;0;"1st"
"YE";0,5;0,5;1;1;"1st"
"YU";0,0645675540209401;0,0344827586206897;4,788;4,858;"1st"
"ZA";0,042425883620468;0,0256410256410256;5,23;5,285;"1st"
"ZR";0,5;0,5;1;1;"1st"
"ZW";0,0793650793650794;0,0714285714285714;3,785;3,807;"1st"
