"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AD";0,0865051903114187;0,0526315789473684;4,236;4,248;"2nd"
"AE";0,0616800584368152;0,04;4,614;4,644;"2nd"
"AF";1;1;0;0;"2nd"
"AG";0,125;0,0833333333333333;3,304;3,585;"2nd"
"AI";0,136094674556213;0,125;2,931;3;"2nd"
"AL";0,0833333333333333;0,0714285714285714;3,804;3,807;"2nd"
"AM";0,072196923518233;0,0625;4,259;4;"2nd"
"AN";0,0473246135552913;0,0434782608695652;4,746;4,524;"2nd"
"AO";0,190082644628099;0,166666666666667;2,482;2,585;"2nd"
"AP";0,5;0,5;1;1;"2nd"
"AR";0,0587196996048133;0,0333333333333333;4,905;4,907;"2nd"
"AS";1;1;0;0;"2nd"
"AT";0,0341873200183983;0,0217391304347826;5,398;5,524;"2nd"
"AU";0,0418179167900655;0,0263157894736842;5,188;5,248;"2nd"
"AW";0,153061224489796;0,142857142857143;2,842;2,807;"2nd"
"AZ";0,0547642509480725;0,037037037037037;4,733;4,755;"2nd"
"BA";0,142361111111111;0,0909090909090909;3,266;3,459;"2nd"
"BB";0,0704832256078793;0,0454545454545455;4,327;4,459;"2nd"
"BD";0,104591836734694;0,0833333333333333;3,696;3,585;"2nd"
"BE";0,0444557262607842;0,0357142857142857;5,143;4,807;"2nd"
"BF";0,224489795918367;0,125;2,492;3;"2nd"
"BG";0,0494778053996024;0,0263157894736842;5,119;5,248;"2nd"
"BH";0,0848126232741617;0,0666666666666667;3,76;3,907;"2nd"
"BI";1;1;0;0;"2nd"
"BJ";0,510204081632653;0,5;0,985;1;"2nd"
"BM";0,0986570247933884;0,0625;3,928;4;"2nd"
"BN";0,375;0,333333333333333;1,5;1,585;"2nd"
"BO";0,0625;0,0555555555555556;4,196;4,17;"2nd"
"BR";0,0336405180634859;0,0212765957446809;5,367;5,555;"2nd"
"BS";0,0772570508219394;0,0625;4,318;4;"2nd"
"BT";1;1;0;0;"2nd"
"BU";0,388888888888889;0,2;1,781;2,322;"2nd"
"BW";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"BY";0,0515929795374385;0,0277777777777778;5,007;5,17;"2nd"
"BZ";0,209876543209877;0,166666666666667;2,419;2,585;"2nd"
"CA";0,0399499371527139;0,027027027027027;5,237;5,209;"2nd"
"CC";1;1;0;0;"2nd"
"CF";0,5;0,5;1;1;"2nd"
"CG";0,0987654320987654;0,0769230769230769;3,614;3,7;"2nd"
"CH";0,0335942732267424;0,0227272727272727;5,413;5,459;"2nd"
"CI";0,12037037037037;0,0769230769230769;3,518;3,7;"2nd"
"CK";1;1;0;0;"2nd"
"CL";0,0482191877155221;0,03125;4,932;5;"2nd"
"CM";0,15702479338843;0,111111111111111;3,077;3,17;"2nd"
