"";"MORt(mat_2nd)";"Step0";"Step1";"Step2";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"10";49,5847417220189;284588;8443013,30304862;1022887,95569102;89,5576958680554;95;25,4210526315789;63,8808493407795
"10.5";0;5086;2889014,77624853;938428,045952045;100;35;36,8285714285714;56,9536517580612
"11";22,51313249986;47528;6514919,06375189;992074,438020434;98,1538023330771;51;28,3137254901961;59,7722293746771
"12";36,1781014893125;12846;5563276,29861435;1011663,93307903;96,741345740768;40;34,15;56,6662819465368
"13";75,5558746655334;115591;10828561,6584336;1037577,16950071;96,7221991746;39;31,4358974358974;57,2745891148779
"14";67,5150895813726;33464;9394396,01497131;1037535,99445132;91,3756443183777;48;30,9375;57,5238733730207
"15";53,9415280565016;21389;6596855,21137033;1018920,41739198;92,0246761089864;61;30,5901639344262;58,2931380812504
"16";62,791649034091;19981;9838494,45172914;1016199,22562371;96,6062322172064;47;33,936170212766;57,724411659642
"17";69,329357997542;73970;9914343,01027443;1032497,31515688;91,6168211393329;45;31,1777777777778;57,6321886118457
"18.1";97,1353025651329;177323;14301764,9793033;1055835,8521695;90,3315620473103;13;26,9230769230769;54,9967927169844
"19";31,3975626478248;71674;6154930,54396294;1002299,28209678;92,7378847149239;62;29,2903225806452;58,814803274005
"20.1";72,3499604537289;1973403;10862322,6505407;1034372,1883266;84,4971271180362;97;21,1649484536082;65,0074762818097
"20.2";51,2182639811578;133182;8140328,39080356;1013271,43275472;92,0852568537864;74;26,6621621621622;62,5552663575107
"20.3";81,131536135812;214144;11969959,8536872;1040591,55490541;92,8184954352637;30;27,5666666666667;57,6068783135533
"20.4";65,9470660491855;203077;9138492,39513091;1028276,19756793;88,8369655925721;57;25;61,3046010576462
"20.42";71,1282832153095;125415;9801964,19050353;1032055,73785497;84,8497354495925;42;23,8095238095238;61,0136534146618
"20.5";70,8060441301814;255771;10821255,5557628;1032188,62361684;92,9787296407191;50;27,62;59,5072200532569
"20.51";3,68400761132214;37008;3980480,76105166;953302,704131066;94,8233503856089;41;30,8048780487805;59,1306924169233
"20.6";90,8851913617226;58630;12755758,4828757;1060150,77640784;86,0185745631414;15;30,0666666666667;53,9493317310861
"21";42,3922635607823;1162885;6441402,76782485;1018043,37102247;79,9490184841907;148;20,2364864864865;68,572694582582
"22";83,5898266331689;409771;11977675,2504643;1043707,71636391;85,9690659552882;53;23,3207547169811;61,0924103360986
"22.1";49,3174386156276;4891;7577604,460642;1015193,46014615;99,1273896192804;24;35,6666666666667;54,6785902214137
"22.2";82,0686502068404;42855;12004817,9418504;1038490,55628898;94,8595417790172;34;32,9705882352941;57,2479921265684
"23";91,8641150551875;262631;13435038,8211559;1052673,97355978;82,50049060622;20;21,7;56,5739183366038
"23.1";77,3583969643744;110962;11365631,243678;1036679,87992662;98,0041878980555;39;30,3076923076923;57,4037905870095
"23.3";78,6060960598201;52801;12211720,5383421;1032903,03702528;93,5997457423609;50;29,46;58,3150591086418
"23.42";90,9948559930936;29712;13445819,232364;1047446,64784773;95,5079325656292;29;35;55,5743429027765
"23.5";76,6258310245904;225719;11765976,0835021;1037866,92114057;93,5168066066594;56;27,4285714285714;59,5632492136699
"24";77,0798222189339;446032;12097096,2183879;1035205,21045643;85,8103153203519;52;22,6923076923077;59,0193720476311
"24.46";60,8475493409052;805;9152937,94409938;1035514,12609333;90,6516306700122;20;32,7;54,8085304769833
"25.1";77,6870482745602;54930;11400272,2739851;1033824,4561396;94,9962369994012;49;32,2040816326531;57,2285960035797
"25.2";68,8907574537066;28304;10829664,7973785;1024309,93097468;96,5717459112672;53;30,7547169811321;58,706584008104
"25.3";76,9987221600501;51524;12202321,0952566;1035737,46276976;94,7280488028024;13;30,4615384615385;57,8192073225798
"25.4";16,0411259463668;42264;4069088,18888416;973766,097751551;93,3697258948572;64;31,203125;58,5585791946581
"25.5";82,0677391237974;55733;12424618,5987476;1043994,67568896;88,2212803353923;28;26,8214285714286;55,7084554536843
"25.6";85,9389817976727;61500;12578244,7461301;1048443,37931626;95,7551431684418;29;30,2758620689655;56,1927108012614
"25.7";66,4203926921362;154826;9257609,09619831;1020474,83066934;94,2569561493759;56;30,0357142857143;59,1834944142056
"25.9";64,6585634393285;61543;9135004,08472125;1016140,31904292;93,4233920195963;45;32,2;57,2304213397805
"25.94";56,751365065414;16154;7660500,025195;1010860,57593767;93,861775833529;43;34,2325581395349;56,406485493232
"26.1";96,4923007613209;2021713;12888969,3749395;1072007,37269656;46,061773408263;19;17,3684210526316;53,8171458613465
"26.11";78,6422147126215;32091;10546750,601072;1056860,62215668;87,5782246640895;15;30,4666666666667;53,8131223238684
"26.2";88,3761473863343;1605592;12081401,5455657;1067039,12728444;4,10793530915048;31;14,741935483871;56,9847772390943
"26.3";85,9320687620844;2036597;11427074,1871544;1064491,3086813;22,2771975370428;35;15,9142857142857;56,8040482149749
"26.4";79,5038248503439;145948;10615556,6940349;1057027,77776661;78,6204259178259;25;27,96;55,3315607887296
"26.5";73,7121614096442;1213971;10816753,4259904;1038364,28967117;77,7513020498548;70;22,9571428571429;61,9638994426207
"26.51";78,5775812902633;288158;11507394,8272823;1039411,55059429;85,3876322917535;49;25,8367346938775;57,6992498684202
"26.52";82,5954026857862;26378;11882973,0662673;1035327,77935715;85,6731182139653;26;27,1538461538462;55,9799518585225
"26.6";54,4841262175239;116173;8610244,51281279;1026097,75045944;93,877023581543;47;27,0212765957447;59,6380907903543
"26.7";95,1550285302144;613794;13761368,6721164;1058734,72601251;78,5303725642229;18;18,7777777777778;58,8281884052955
"26.8";94,3456324258577;80893;13788666,3195456;1054469,53510859;91,4035232572561;9;27,1111111111111;55,4278163374743
"27.1";86,6727340941774;223009;12721599,9309086;1044680,70275545;90,577798662627;32;28,625;59,3160320550982
"27.12";84,907061256048;109499;12248897,315044;1044225,51586247;82,3355167213387;28;25,8214285714286;55,6116172345988
"27.2";95,625121622321;240755;13707274,8495109;1061320,34369634;77,7455932132923;14;18,9285714285714;56,3150457081458
"27.3";95,6435179887725;121237;14147190,5733316;1054309,56451685;75,043771774087;12;21,0833333333333;58,9624540257488
"27.33";78,6401206379334;320132;11093734,9802363;1038240,99022377;85,7625863464829;46;27,6521739130435;58,3907363765584
"27.4";80,7613367289517;88120;11125202,389537;1042626,00988816;86,3098034564552;29;30,7241379310345;55,9309253042027
"27.5";83,6036701289651;552999;11311085,6466504;1052523,39103919;80,150287124388;67;23,3283582089552;61,4128800585345
"27.9";86,9732577381272;310451;12635631,6254449;1047991,89178665;83,6761507075546;36;23,8333333333333;59,3318338040211
"28.1";76,0531627759784;806761;11077905,4126141;1033242,91295181;86,2693914547985;71;24,3098591549296;62,5245617070312
"28.11";74,5075521601905;160336;11055679,5962666;1031301,40626117;88,6907372920903;36;25,6944444444444;59,3940567855648
"28.14";91,2996632458773;56463;13283191,5603315;1050191,82571951;93,8507234252471;31;32,4838709677419;56,2969409709196
"28.21";79,1465779044716;65073;12019849,0384338;1035608,95663143;98,9419799439526;40;30,725;58,4427730911506
"28.22";84,7747262008863;126865;12400219,5804674;1039713,75542974;91,0300988254722;38;31,0789473684211;58,0048847844162
"28.23";100;1728255;14312825,4443256;1065950,35481218;0;12;14,6666666666667;53,0360869144406
"28.25";91,9807176446013;229883;13072957,0218024;1057209,38692569;79,3610281970538;24;25,875;58,488829002873
"28.29";77,1968273554912;857082;11413934,0460796;1036594,48283128;83,1437718909963;85;22,8588235294118;63,353701133973
"28.3";66,6064056767124;290683;10353879,8527296;1027079,20641227;93,7988860548389;77;26,9350649350649;62,1882577583625
"28.4";79,0123762693119;687860;11585411,8980708;1037785,96077809;86,7679766434191;51;24,7254901960784;58,3492612141019
"28.9";77,6575190373139;1413392;11644601,1761578;1035851,87210023;82,1928036542487;93;21,1397849462366;64,9802526044168
"28.92";59,5625116299975;54563;9631860,62998736;1017014,54460541;95,040672672417;48;31,25;58,6333543435864
"28.94";74,9946017857312;130065;10787933,6397109;1030427,31684007;95,2974061243251;43;28,7906976744186;57,6985031961653
"28.95";44,1546412290351;17855;5192476,46513582;1000786,98699881;94,2038256602913;17;36,2941176470588;54,7028509701779
"28.99";55,5107373781969;110492;8646904,47884915;1009946,97193292;96,6642216191777;64;30,71875;59,9682253791816
"29.1";77,8172934293776;1111763;10980567,4637094;1034405,91229056;67,7901688396752;48;19,8125;61,157304971039
"29.3";97,9279266163933;43080;14437907,597493;1050444,62855795;85,4795566965666;4;38,75;50,3392363560137
"30";53,0536219904047;209607;8252800,20300849;1008292,49701226;87,5124320809168;96;26,6041666666667;60,7067739347522
"31";68,6923140968557;121998;9269266,37015361;1032091,33924897;88,34311288906;67;27,9402985074627;59,9664865158539
"32";76,4001107291205;502101;10822753,8507352;1039408,81895145;84,5824671912688;87;23,9080459770115;62,3133578517605
"32.5";54,9525681235201;800543;8138472,47673642;1025809,8052505;82,6217208309667;120;22,5916666666667;65,6651718608848
"32.9";86,1234938869581;644072;12330474,4162128;1049025,87550144;83,7360632068012;52;24,3461538461538;61,4645977503623
"42.2";84,4329854758505;39076;12558632,262207;1039156,3004592;95,8900507504839;27;35,2222222222222;56,5924865066207
"42.91";82,1970279813953;40240;12531617,7399354;1040938,30985341;92,3250351781384;42;28,8571428571429;58,561543407781
