"";"MORt(mat_3rd)";"Step0";"Step1";"Step2";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"10";91,2686076268275;1183810;19993476,8907781;2164034,2460292;77,5401958154268;63;23,5396825396825;63,6174279355988
"10.5";59,5109619722574;5162;4649987,18926773;2080021,72188651;92,0780289494498;40;32,4;58,0412019591301
"11";91,3957888917636;167360;19800687,4171068;2153265,65466621;85,4037735878145;35;28,4285714285714;59,9597419977359
"12";100;85366;21746467,9251576;2174824,94846164;83,8541508716439;28;28,3214285714286;59,5760443552384
"13";74,0329650214371;208966;19699911,1565518;2160559,67898871;78,0938598295415;31;26,5161290322581;59,9786529108362
"14";54,8971538145473;90000;15756700,0360222;2202806,43874701;82,6687169045425;53;28,7358490566038;61,2893832047175
"15";48,938350010231;49083;13630174,4719964;2219952,79427332;84,0360158157378;61;29,2459016393443;60,5582945758071
"16";78,4559824823868;38252;19368643,9538325;2148815,14294781;96,4280518232453;39;32,8461538461538;58,1188197049872
"17";63,3125028487646;93863;17389978,8429626;2169848,70628448;91,1251964630979;36;29,8611111111111;60,259233790682
"18.1";9,02926016490214;122166;12294674,4712768;2123408,35632027;83,4805892665483;29;29,5172413793103;59,4849678468498
"19";88,1881559119179;205399;19375888,9411682;2177307,23956052;86,9002723104591;71;26,6056338028169;60,9857208651248
"20.1";75,0996806260397;4115826;19259618,6226731;2162312,21483334;61,231104508414;67;20,0597014925373;65,0163313719694
"20.2";84,2788816643459;310718;19692689,2437741;2184656,69530074;76,9125341102273;63;25,1428571428571;61,6219248688224
"20.3";66,234725566075;387185;18790394,5593114;2157025,61071489;81,123066051532;24;24,9166666666667;57,9839262340746
"20.4";48,3252393618052;348085;14122036,6713705;2156743,12620173;75,2027261097666;67;25,5373134328358;62,4879528870837
"20.42";46,3470524468109;244209;14118140,8530603;2149393,14898283;73,158406705295;49;24,6530612244898;62,3178600462701
"20.5";67,1619094668564;454002;18231297,9289849;2163715,25646304;87,6685313591024;42;25,1190476190476;59,5050909143868
"20.51";94,9932240097227;70779;14354899,4285169;2136658,03199839;91,3379713807602;31;28,7741935483871;59,028527812454
"20.6";70,3467362426362;91286;19533217,1955722;2164049,57757738;84,8019112090773;26;28,3461538461538;57,7838574462485
"21";77,0656541952467;3092539;17735043,9437918;2195432,35132965;64,5655044166194;134;20,410447761194;70,0763982663403
"22";45,7865609393458;620514;15151709,0474881;2158744,68853438;66,7940759418048;69;23,4492753623188;64,4766583776784
"22.1";54,6499182729871;8868;14754056,5047361;2123524,80463473;93,3624141591029;23;33,5652173913043;55,013067761229
"22.2";77,9746786812162;71653;19813184,6382008;2153667,17210331;92,1189875642828;31;32,1935483870968;58,1098762178153
"23";30,5384974681664;415668;14103617,091104;2180268,00925238;73,7541039372207;51;25,9607843137255;60,2716366334299
"23.1";60,7125455982704;164421;17180706,060783;2148023,66823143;93,3038090581239;34;31,2058823529412;56,3634063951369
"23.3";82,2702790817945;91933;20012113,9405545;2169789,54441;96,8790400573036;36;29,3611111111111;58,5198355712167
"23.42";33,1558430042717;36428;14632853,9420501;2149298,02920247;96,7277657292676;35;32,2571428571429;58,3385848106623
"23.5";87,8264093381934;469309;20683527,0130341;2153909,01919825;89,2214152786769;45;26,6666666666667;59,0423800250698
"24";82,5478425474192;881650;20061160,8900323;2148494,62717434;84,4275657481053;35;23,9142857142857;57,1222661874031
"24.46";66,4124095293171;1795;14406798,2083565;2192173,22926741;82,8874975354013;17;29,2941176470588;56,3161642557521
"25.1";57,3016624252612;86773;17359554,2730919;2170093,34349686;85,6874053361774;35;28,2;58,8094469949692
"25.2";74,3738314405499;87963;17928042,4885577;2158657,99796106;92,2583774645686;57;30,7543859649123;59,302952884303
"25.3";53,4004610096738;71360;14933404,9083941;2155610,46203791;89,0336245521287;19;29,8421052631579;55,6954482899343
"25.4";65,3980922707755;89991;10509126,7906902;2187744,52941822;85,601366117826;60;29,6333333333333;60,3841176781756
"25.5";72,9636919204507;146488;18880018,7512834;2149916,17391234;98,5803874557732;18;30,1111111111111;54,936353915018
