"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com"
"10";"Manufacture of Food Products";0,299066095648689;1,59248983589285;0,828228534991174;0,29628182742971;0,0154733935652765;0;57;0;0
"10.5";"Manufacture of Dairy Products";1,02046317243283;0,181914700208242;0,228458399264456;0,342994886054704;0,586946921217035;58;0;0;0
"11";"Manufacture of Beverages";0,169173973959182;1,47491232295189;0,76876332171224;0,309463757806802;0,0628125396318125;0;70;0;0
"12";"Manufacture of Tobacco Products";0,730826460866204;1,39756053436981;0,373310111193348;0,135574823346792;0,0472523312183347;0;58;0;0
"13";"Manufacture of Textiles";0,293656386217918;1,53904453085677;0,867731564807551;0,659934356388036;0,0190979528237481;0;64;0;0
"14";"Manufacture of Wearing Apparel";1,60046365566376;1,06624281822073;0,954395638468485;0,680011595531345;0,0110963714593827;62;0;0;0
"15";"Manufacture of Leather and Related Products";1,78764601411097;0,796633020209455;1,71941769745223;0,444449340641719;0;65;0;60;0
"16";"Manufacture of Wood and of Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials";0,217981084259126;1,44117852973734;0,563732859245309;0,608296079003283;0;0;59;0;0
"17";"Manufacture of Paper and Paper Products";0,579055033874587;1,1851231884994;0,723654599833517;0,959260512204659;0;0;57;0;0
"18.1";"Printing and Service Activities Related to Printing";0,694997003834986;0,42008261731442;1,00194958568632;2,25826518672779;0,0317386112954397;0;0;0;58
"19";"Manufacture of Coke and Refined Petroleum Products";0,849099364520798;1,42813064853789;0,484449026740094;0,379414959015359;0,0706995241486956;0;61;0;0
"20.1";"Manufacture of Basic Chemicals, Fertilisers and Nitrogen Compounds, Plastics and Synthetic Rubber in Primary Forms";0,443154269285035;1,42807618693979;0,70792188339606;0,759142097639769;0,0396141763075009;0;60;0;0
"20.2";"Manufacture of pesticides and other agrochemical products";0,786599883064804;1,62073223186439;0,360383472947701;0,322376529794317;0,0140978217796506;0;60;0;0
"20.3";"Manufacture of Paints, Varnishes and Similar Coatings, Printing Ink and Mastics";0,270193601006646;1,62022156342614;0,624367888899189;0,669012427819393;0;0;62;0;62
"20.4";"Manufacture of Soap and Detergents, Cleaning and Polishing Preparations, Perfumes and Toilet Preparations";0,698780331172067;1,08531807946369;1,19828081061404;0,757205857024289;0;0;0;58;0
"20.42";"Manufacture of Perfumes and Toilet Preparations";0,501727811147908;1,0106813822633;1,40115855360858;0,911914936560062;0;0;0;57;0
"20.5";"Manufacture of Other Chemical Products";0,547206198761812;1,40312130605434;0,575012519340803;0,830180686811105;0,0525124548522731;0;56;0;0
"20.51";"Manufacture of Explosives";1,48720317985883;0,902050430307602;0,623432956464859;0,196945240755786;0,0574253277779201;0;59;0;0
"20.6";"Manufacture of Man-Made Fibres";0,262424105479472;1,34206570395294;1,08845644467284;1,06713453889354;0;0;59;58;0
"21";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations";1,10529560308678;1,45184305910017;0,582879364838898;0,270410504481825;0,0523644325593146;60;64;0;0
"22";"Manufacture of Rubber and Plastic Products";0,751180370104844;0,888494417064114;0,941576880148827;1,26413040701683;0,0737154842990857;0;0;0;57
"22.1";"Manufacture of Rubber Products";0,69968044078629;0,740826439345044;0,52667641830207;1,56250840881986;0;0;0;0;62
"22.2";"Manufacture of Plastics Products";0,279278453219797;1,47629474494288;0,727193052627176;0,660703673955001;0,0633024481548961;0;58;0;0
"23";"Manufacture of Other Non-Metallic Mineral Products";1,32914675373905;0,873245258901747;0,787970546279333;1,33898677433499;0,0110168735957664;55;0;0;63
"23.1";"Manufacture of Glass and Glass Products";0,455731716581977;1,23375634188963;0,618192647753002;0,979757678654477;0,0228567870680769;0;58;0;65
"23.3";"Manufacture of Clay Building Materials";0,433528381700971;1,58453438522503;0,622001942528317;0,438728256500639;0,0565627303469012;0;61;0;0
"23.42";"Manufacture of Ceramic Sanitary Fixtures";0,729435162658817;0,835826279058908;1,29451013842915;1,29731239269082;0;0;0;64;62
"23.5";"Manufacture of Cement, Lime and Plaster";0,171091067311702;1,63461389487705;0,698959955621108;0,436368484940563;0,0250850262693592;0;58;0;0
"24";"Manufacture of Basic Metals";0,203167945481508;1,44378811464998;0,826075216843369;0,746498493428052;0,172746241585079;0;57;0;0
"24.46";"Processing of Nuclear Fuel";1,53323492057735;1,03201833457893;0,917117173488432;0,417587254432942;0;58;0;59;0
"25.1";"Manufacture of Structural Metal Products";0,988415254623644;1,10584011740704;0,838453173135561;0,898614623811272;0,102025798280647;0;70;0;61
"25.2";"Manufacture of Tanks, Reservoirs and Containers of Metal";0,492496679304421;1,23612213728285;0,825770851057636;0,53678344416086;0,217735590907987;0;58;0;0
"25.3";"Manufacture of Steam Generators, Except Central Heating Hot Water Boilers";0,883554206949514;0,643343966725971;1,5436550372198;1,34779478439743;0,241932143738429;0;0;61;60
"25.4";"Manufacture of Weapons and Ammunition";3,0878236639049;0,477888449449554;0,821009543598414;0,178647034210716;0,127836820542405;62;0;60;0
"25.5";"Forging, Pressing, Stamping and Roll-Forming of Metal; Powder Metallurgy";0,408320595604218;1,34400733307443;0,698091776129402;0,851784937359135;0,0407116159399913;0;60;0;0
"25.6";"Treatment and Coating of Metals; Machining";0,500389754220251;1,26022081670975;0,923384692729782;0,935677499090563;0,0420163474693362;0;59;0;65
"25.7";"Manufacture of Cutlery, Tools and General Hardware";0,684021862797661;0,771115979661394;1,25955699967572;0,960091529022915;0,0309020703997691;0;0;58;72
"25.9";"Manufacture of Other Fabricated Metal Products";1,03724899924191;0,723262985313563;0,808397869681454;0,922637731251035;0,0126640615239616;60;0;0;58
"25.94";"Manufacture of Fasteners and Screw Machine Products";1,4234901532953;0,601467039907639;1,00089118731705;0,8641813070956;0;59;0;0;0
"26.1";"Manufacture of Electronic Components and Boards";1,01536211143475;0,5423070974263;1,96941593869938;1,5960903977523;0,0595476312416287;66;0;59;59
"26.11";"Manufacture of Electronic Components";0,716648811239126;1,08577726291631;1,3165016188519;0,583426145678188;0,0879626198769378;0;60;59;0
"26.2";"Manufacture of computers and peripheral equipment";2,0561691343742;0,839417170526134;1,0086725178914;0,94293527743762;6,16626865038554;62;0;64;0
"26.3";"Manufacture of Communication Equipment";1,46053451872453;0,865092569577862;1,28192005033591;1,01770154549711;0,778958237448316;72;0;58;0
"26.4";"Manufacture of Consumer Electronics";1,93886713022313;0,614367709061012;0,801581615460817;1,15439214039146;0,208197180060301;63;0;0;64
"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";0,822795813574116;1,19487939332136;0,660740838660073;0,832511797130233;1,35850943885211;0;56;0;0
