"";"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"1";"10";"Manufacture of Food Products";0,88565148634256;2,8349149042146;3,58406436078972;1,01454806569673;0;41;36;24;0;"Period 1 (1974-1988)";92,2345974790314;"Other";4
"2";"10.5";"Manufacture of Dairy Products";1,12786461223756;0;0;0,115259606353505;0;43;0;0;0;"Period 1 (1974-1988)";99,1171482000487;"Other";4
"3";"11";"Manufacture of Beverages";0,703413044489157;11,6569946442472;6,06876533613185;0,822335894561007;0;0;41;43;0;"Period 1 (1974-1988)";94,9159267746745;"Other";4
"4";"12";"Manufacture of Tobacco Products";2,41086210544188;4,44597396115341;3,41231709535586;0,494613468987366;0;35;39;44;0;"Period 1 (1974-1988)";94,8210154757221;"Other";4
"5";"13";"Manufacture of Textiles";0,964394977732216;1,56741633269451;3,02359380671337;0,94223025505257;0;41;40;44;0;"Period 1 (1974-1988)";93,0915176372966;"Other";4
"6";"14";"Manufacture of Wearing Apparel";2,42114697241419;1,57876864639508;1,03521427677888;0,530765371949391;0;41;40;43;0;"Period 1 (1974-1988)";94,8169706874836;"Other";4
"7";"15";"Manufacture of Leather and Related Products";1,78931816966004;2,89073734777987;1,89165591761006;0,326812821444654;0;37;41;40;0;"Period 1 (1974-1988)";98,3076530045727;"Other";4
"8";"16";"Manufacture of Wood and of Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials";0,450340796307165;2,40193136766144;1,624969301596;1,03707593997934;0;0;39;41;41;"Period 1 (1974-1988)";94,7866266168884;"Other";4
"9";"17";"Manufacture of Paper and Paper Products";1,23241237618994;1,39929043760121;1,65664892116883;0,721503793135918;0;36;46;43;0;"Period 1 (1974-1988)";96,6564963652962;"Other";4
"10";"18.1";"Printing and Service Activities Related to Printing";0,594530971173782;0,499202079840511;0,902642126744056;1,28048086829097;0;0;0;0;41;"Period 1 (1974-1988)";81,3793483001282;"Other";4
"11";"19";"Manufacture of Coke and Refined Petroleum Products";2,93523717968161;2,59637639525429;2,55593888436354;0,523488172166332;0;29;42;35;0;"Period 1 (1974-1988)";96,4129577508372;"Other";4
"12";"20.1";"Manufacture of Basic Chemicals, Fertilisers and Nitrogen Compounds, Plastics and Synthetic Rubber in Primary Forms";1,40662541711972;1,72510706325481;1,47005791400696;0,858421015369511;0,0342988189555205;41;39;41;0;"Period 1 (1974-1988)";84,5122884130177;"Other";4
"13";"20.2";"Manufacture of pesticides and other agrochemical products";1,38522874554361;2,3936987610809;1,11191904906687;0,713044376559833;0;42;47;41;0;"Period 1 (1974-1988)";89,0165071585252;"Other";4
"14";"20.3";"Manufacture of Paints, Varnishes and Similar Coatings, Printing Ink and Mastics";0,914500222088862;1,83650082534899;1,00766230915396;1,10062866788077;0;0;39;0;38;"Period 1 (1974-1988)";86,0581109053235;"Other";4
"15";"20.4";"Manufacture of Soap and Detergents, Cleaning and Polishing Preparations, Perfumes and Toilet Preparations";1,60820837407129;1,42225636341114;2,02060650748939;0,737360824641449;0;37;0;41;0;"Period 1 (1974-1988)";92,8537098623267;"Other";4
"16";"20.42";"Manufacture of Perfumes and Toilet Preparations";1,44143387805218;0,0561007897928442;1,64718838752999;0,943002704568562;0;33;0;36;0;"Period 1 (1974-1988)";91,756255779165;"Other";4
