"Group.1";"Group.2";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network"
"CN";"1st";1;9,63636363636364;0,712317040581295;26,7272727272727;0,366021589012546;19,0227272727273;0,0125688881151658;0,366021589012546;0,366021589012546;11619,2743641381;9,63636363636364;1524,13628352979;43,0193926454491;278,5
"JP";"1st";1;7,66666666666667;NA;18;0,4076469263127;12,1333333333333;0,0117930825391666;0,4076469263127;0,4076469263127;748,491954108023;7,66666666666667;930,586704669148;27,4051228396852;156
"KR";"1st";1;7,375;0,758382480297079;14,53125;0,35532350475707;14,09375;0,0172614521745045;0,35532350475707;0,35532350475707;492,825780130433;7,375;986,97330162962;31,1917189827845;163,125
"US";"1st";1;9,02325581395349;NA;25,046511627907;0,389394173335372;18,6511627906977;0,00808198367871141;0,389394173335371;0,389394173335372;9923,26281497404;9,02325581395349;1515,62278771176;40,187813937256;240,93023255814
"CN";"2nd";1;6,34285714285714;NA;10,8;0,309816863473477;15,8571428571429;0,00978018144025445;0,309816863473477;0,309816863473477;347,239080519687;6,34285714285714;1061,88646019405;32,2597434711395;141,428571428571
"JP";"2nd";1;9,94736842105263;0,760146094759733;30,7105263157895;0,425671175457089;16,1578947368421;0,0147579414889612;0,425671175457089;0,425671175457089;12677,4135905874;9,94736842105263;1391,13509792893;37,2138828745841;248,894736842105
"KR";"2nd";1;3,63636363636364;NA;3,81818181818182;0,382098383266353;11,8181818181818;0,0105280188811459;0,382098383266353;0,382098383266353;16,6638614443263;3,63636363636364;442,367282887344;17,3964938903674;50,8181818181818
"US";"2nd";1;6,74285714285714;NA;14,1428571428571;0,38612777056284;16,4571428571429;0,00698960798116911;0,38612777056284;0,38612777056284;549,552837820988;6,74285714285714;981,562445161174;30,2921510939341;138
"CN";"3rd";1;10,046511627907;NA;29,3023255813953;0,368857054846807;17,4418604651163;0,0082454948215795;0,368857054846807;0,368857054846807;19226,5499846127;10,046511627907;1533,52414561795;40,2237707329678;287,813953488372
"JP";"3rd";1;8,48275862068965;0,7717764825718;22,7586206896552;0,508949315156639;12,2758620689655;0,019601960295375;0,508949315156638;0,508949315156639;2210,92247596818;8,48275862068965;1058,64693793437;28,3976364977523;155,793103448276
"KR";"3rd";1;5,86206896551724;NA;11,3793103448276;0,452205884061329;15,3793103448276;0,0112511473461257;0,452205884061329;0,452205884061329;241,519656811731;5,86206896551724;824,193700814511;25,8388724668653;94,9655172413793
"US";"3rd";1;6,08;NA;13,68;0,449273217016164;9,68;0,0101032812778205;0,449273217016164;0,449273217016164;315,429890810435;6,08;659,370373671554;20,7146200154617;91,6
"CN";"1st";44;424;31,341949785577;1176;16,104949916552;837;0,553031077067297;16,104949916552;16,104949916552;511248,072022077;424;67061,9964753107;1892,85327639976;12254
"JP";"1st";30;230;NA;540;12,229407789381;364;0,353792476174998;12,229407789381;12,229407789381;22454,7586232407;230;27917,6011400744;822,153685190556;4680
"KR";"1st";32;236;24,2682393695065;465;11,3703521522262;451;0,552366469584143;11,3703521522262;11,3703521522262;15770,4249641739;236;31583,1456521478;998,135007449104;5220
"US";"1st";43;388;NA;1077;16,743949453421;802;0,347525298184591;16,743949453421;16,743949453421;426700,301043884;388;65171,7798716058;1728,07599930201;10360
"CN";"2nd";35;222;NA;378;10,8435902215717;555;0,342306350408906;10,8435902215717;10,8435902215717;12153,3678181891;222;37166,0261067916;1129,09102148988;4950
"JP";"2nd";38;378;28,8855516008699;1167;16,1755046673694;614;0,560801776580524;16,1755046673694;16,1755046673694;481741,716442322;378;52863,1337212992;1414,1275492342;9458
"KR";"2nd";22;80;NA;84;8,40616443185977;260;0,231616415385209;8,40616443185977;8,40616443185977;366,604951775179;80;9732,08022352156;382,722865588084;1118
"US";"2nd";35;236;NA;495;13,5144719696994;576;0,244636279340919;13,5144719696994;13,5144719696994;19234,3493237346;236;34354,6855806411;1060,22528828769;4830
"CN";"3rd";43;432;NA;1260;15,8608533584127;750;0,354556277327919;15,8608533584127;15,8608533584127;826741,649338348;432;65941,5382615718;1729,62214151761;12376
"JP";"3rd";29;246;22,3815179945822;660;14,7595301395425;356;0,568456848565874;14,7595301395425;14,7595301395425;64116,7518030773;246;30700,7612000968;823,531458434817;4518
"KR";"3rd";29;170;NA;330;13,1139706377785;446;0,326283273037645;13,1139706377785;13,1139706377785;7004,07004754019;170;23901,6173236208;749,327301539094;2754
"US";"3rd";25;152;NA;342;11,2318304254041;242;0,252582031945513;11,2318304254041;11,2318304254041;7885,74727026088;152;16484,2593417889;517,865500386542;2290
