"ctry_code";"Subclass";"RCA_Gen";"RCA_AI";"Period"
"AD";"A01B";0;NA;"1974-1988"
"AD";"A01C";0;NA;"1974-1988"
"AD";"A01D";0;NA;"1974-1988"
"AD";"A01F";0;NA;"1974-1988"
"AD";"A01G";0;NA;"1974-1988"
"AD";"A01H";0;NA;"1974-1988"
"AD";"A01J";0;NA;"1974-1988"
"AD";"A01K";0;NA;"1974-1988"
"AD";"A01L";0;NA;"1974-1988"
"AD";"A01M";0;NA;"1974-1988"
"AD";"A01N";0;NA;"1974-1988"
"AD";"A01P";0;NA;"1974-1988"
"AD";"A21B";0;NA;"1974-1988"
"AD";"A21C";0;NA;"1974-1988"
"AD";"A21D";0;NA;"1974-1988"
"AD";"A22B";0;NA;"1974-1988"
"AD";"A22C";0;NA;"1974-1988"
"AD";"A23B";0;NA;"1974-1988"
"AD";"A23C";0;NA;"1974-1988"
"AD";"A23D";0;NA;"1974-1988"
"AD";"A23F";0;NA;"1974-1988"
"AD";"A23G";0;NA;"1974-1988"
"AD";"A23J";0;NA;"1974-1988"
"AD";"A23K";0;NA;"1974-1988"
"AD";"A23L";0;NA;"1974-1988"
"AD";"A23N";0;NA;"1974-1988"
"AD";"A23P";0;NA;"1974-1988"
"AD";"A24B";0;NA;"1974-1988"
"AD";"A24C";0;NA;"1974-1988"
"AD";"A24D";0;NA;"1974-1988"
"AD";"A24F";0;NA;"1974-1988"
"AD";"A41B";0;NA;"1974-1988"
"AD";"A41C";0;NA;"1974-1988"
"AD";"A41D";0;NA;"1974-1988"
"AD";"A41F";0;NA;"1974-1988"
"AD";"A41G";0;NA;"1974-1988"
"AD";"A41H";0;NA;"1974-1988"
"AD";"A42B";0;NA;"1974-1988"
"AD";"A42C";0;NA;"1974-1988"
"AD";"A43B";0;NA;"1974-1988"
"AD";"A43C";0;NA;"1974-1988"
"AD";"A43D";0;NA;"1974-1988"
"AD";"A44B";0;NA;"1974-1988"
"AD";"A44C";0;NA;"1974-1988"
"AD";"A45B";0;NA;"1974-1988"
"AD";"A45C";0;NA;"1974-1988"
"AD";"A45D";0;NA;"1974-1988"
"AD";"A45F";0;NA;"1974-1988"
"AD";"A46B";0;NA;"1974-1988"
"AD";"A46D";0;NA;"1974-1988"
"AD";"A47B";0;NA;"1974-1988"
"AD";"A47C";0;NA;"1974-1988"
"AD";"A47D";0;NA;"1974-1988"
"AD";"A47F";0;NA;"1974-1988"
"AD";"A47G";0;NA;"1974-1988"
"AD";"A47H";0;NA;"1974-1988"
"AD";"A47J";0;NA;"1974-1988"
"AD";"A47K";0;NA;"1974-1988"
"AD";"A47L";0;NA;"1974-1988"
"AD";"A61B";0;NA;"1974-1988"
"AD";"A61C";0;NA;"1974-1988"
"AD";"A61D";0;NA;"1974-1988"
"AD";"A61F";0;NA;"1974-1988"
"AD";"A61G";0;NA;"1974-1988"
"AD";"A61H";0;NA;"1974-1988"
"AD";"A61J";0;NA;"1974-1988"
"AD";"A61K";0;NA;"1974-1988"
"AD";"A61L";0;NA;"1974-1988"
"AD";"A61M";0;NA;"1974-1988"
"AD";"A61N";0;NA;"1974-1988"
"AD";"A61P";0;NA;"1974-1988"
"AD";"A61Q";0;NA;"1974-1988"
"AD";"A62B";0;NA;"1974-1988"
"AD";"A62C";0;NA;"1974-1988"
"AD";"A62D";0;NA;"1974-1988"
"AD";"A63B";0;NA;"1974-1988"
"AD";"A63C";0;NA;"1974-1988"
"AD";"A63D";0;NA;"1974-1988"
"AD";"A63F";43,8765407373691;NA;"1974-1988"
"AD";"A63G";0;NA;"1974-1988"
"AD";"A63H";0;NA;"1974-1988"
"AD";"A63J";0;NA;"1974-1988"
"AD";"A63K";0;NA;"1974-1988"
"AD";"B01B";0;NA;"1974-1988"
"AD";"B01D";0;NA;"1974-1988"
"AD";"B01F";0;NA;"1974-1988"
"AD";"B01J";0;NA;"1974-1988"
"AD";"B01L";0;NA;"1974-1988"
"AD";"B02B";0;NA;"1974-1988"
"AD";"B02C";0;NA;"1974-1988"
"AD";"B03B";0;NA;"1974-1988"
"AD";"B03C";0;NA;"1974-1988"
"AD";"B03D";0;NA;"1974-1988"
"AD";"B04B";0;NA;"1974-1988"
