"country_code";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"info"
"AG";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"general"
"AM";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"AR";11;7;6;1;2;2;0;0;3;12;1;6;20;18;4;6;4;6;4;7;3;0;12;4;15;5;23;10;37;15;12;17;17;19;26;"general"
"AT";758;299;198;23;131;64;1;28;279;461;38;130;303;447;140;241;247;80;395;725;185;0;439;274;487;763;537;345;799;451;572;706;924;249;1273;"general"
"AU";1403;606;409;48;178;272;10;81;509;1321;149;659;1180;1127;299;593;520;537;1113;975;552;0;1554;538;2443;1607;1203;638;3156;1161;2064;2634;2438;1223;4339;"general"
"BA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;1;1;0;0;0;0;0;0;0;1;"general"
"BB";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;"general"
"BE";261;97;159;32;54;43;0;26;182;196;65;80;141;575;125;223;288;97;399;602;242;0;264;112;265;304;158;203;444;181;169;242;176;162;415;"general"
"BG";992;335;166;36;333;455;0;114;228;1284;137;340;472;714;282;382;977;773;722;1322;421;0;712;178;593;1195;241;396;781;226;477;270;47;120;540;"general"
"BI";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"general"
"BM";2;2;0;0;0;0;0;0;0;0;0;0;0;13;0;3;1;0;0;0;1;0;4;0;0;0;0;10;1;0;1;2;0;1;4;"general"
"BO";2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;4;1;0;0;3;0;4;1;0;0;2;0;1;"general"
"BR";1759;647;754;47;138;325;12;50;296;962;48;851;1046;248;123;49;250;293;887;923;355;0;1185;322;1927;1521;1551;899;2339;793;1871;2207;2728;1818;2947;"general"
"BS";4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;4;4;7;0;4;2;5;2;1;1;1;1;8;7;2;4;3;"general"
"BU";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;2;0;0;0;0;1;0;"general"
"CA";3827;1409;1474;254;553;784;14;372;1368;2915;252;1041;1983;2643;525;983;1524;874;2154;2301;1424;0;2594;1115;3847;3154;1909;1630;4146;1812;2764;3159;2822;2048;5236;"general"
"CH";2194;788;372;108;299;242;4;225;841;2526;120;754;1528;2877;363;725;576;576;1638;1040;672;0;1678;588;2625;2447;921;2109;1872;1127;1852;1282;1955;1546;3030;"general"
"CL";0;1;1;0;0;1;0;0;1;1;0;2;0;1;0;2;1;2;3;17;2;0;8;1;1;0;11;5;8;4;6;2;2;2;3;"general"
"CN";931;233;146;20;106;317;0;132;306;994;45;223;420;396;154;188;348;591;970;1577;478;0;660;290;270;697;641;396;706;384;499;541;374;573;670;"general"
