"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AD";"1";0,374710581170204;NA;"1989-2003"
"AD";"10";0,545689772454936;NA;"1989-2003"
"AD";"11";0;NA;"1989-2003"
"AD";"12";0;NA;"1989-2003"
"AD";"13";8,58873675925044;NA;"1989-2003"
"AD";"14";2,56946030700627;NA;"1989-2003"
"AD";"15";0;NA;"1989-2003"
"AD";"16";0;NA;"1989-2003"
"AD";"17";0;NA;"1989-2003"
"AD";"18";1,93534490300861;NA;"1989-2003"
"AD";"19";0;NA;"1989-2003"
"AD";"2";0,403669507128619;NA;"1989-2003"
"AD";"20";1,96529664787172;NA;"1989-2003"
"AD";"21";0;NA;"1989-2003"
"AD";"22";0;NA;"1989-2003"
"AD";"23";0;NA;"1989-2003"
"AD";"24";0;NA;"1989-2003"
"AD";"25";0;NA;"1989-2003"
"AD";"26";0;NA;"1989-2003"
"AD";"27";0;NA;"1989-2003"
"AD";"28";0,795920937398579;NA;"1989-2003"
"AD";"29";3,09407785590569;NA;"1989-2003"
"AD";"3";0;NA;"1989-2003"
"AD";"30";0;NA;"1989-2003"
"AD";"31";0;NA;"1989-2003"
"AD";"32";5,21461026076045;NA;"1989-2003"
"AD";"33";1,52369655922977;NA;"1989-2003"
"AD";"34";0;NA;"1989-2003"
"AD";"35";1,53148700409686;NA;"1989-2003"
"AD";"4";0;NA;"1989-2003"
"AD";"5";0;NA;"1989-2003"
"AD";"6";0,78505675229418;NA;"1989-2003"
"AD";"7";0;NA;"1989-2003"
"AD";"8";0;NA;"1989-2003"
"AD";"9";0;NA;"1989-2003"
"AE";"1";0;NA;"1989-2003"
"AE";"10";1,61780967833699;NA;"1989-2003"
"AE";"11";8,70843206695132;NA;"1989-2003"
"AE";"12";3,67045217438197;NA;"1989-2003"
"AE";"13";1,15741265418776;NA;"1989-2003"
"AE";"14";1,26961568110898;NA;"1989-2003"
"AE";"15";1,08024380343119;NA;"1989-2003"
"AE";"16";0,780553178651263;NA;"1989-2003"
"AE";"17";0;NA;"1989-2003"
"AE";"18";0;NA;"1989-2003"
"AE";"19";1,09417001653008;NA;"1989-2003"
"AE";"2";1,39622158936252;NA;"1989-2003"
"AE";"20";0,485543877709484;NA;"1989-2003"
"AE";"21";0;NA;"1989-2003"
"AE";"22";0;NA;"1989-2003"
"AE";"23";1,05634142723561;NA;"1989-2003"
"AE";"24";1,40273538269715;NA;"1989-2003"
"AE";"25";0,983262698327003;NA;"1989-2003"
"AE";"26";0,374731163555767;NA;"1989-2003"
"AE";"27";2,47124009743486;NA;"1989-2003"
"AE";"28";0,393278580832239;NA;"1989-2003"
"AE";"29";0,917303081986157;NA;"1989-2003"
"AE";"3";0,631421300281429;NA;"1989-2003"
"AE";"30";0,549743046825029;NA;"1989-2003"
"AE";"31";0,377199725039033;NA;"1989-2003"
"AE";"32";1,54597857142545;NA;"1989-2003"
"AE";"33";1,12932803801736;NA;"1989-2003"
"AE";"34";1,49150630837058;NA;"1989-2003"
"AE";"35";3,02693901986204;NA;"1989-2003"
"AE";"4";0,595759734206563;NA;"1989-2003"
"AE";"5";0,919785945055905;NA;"1989-2003"
"AE";"6";0,387910395251242;NA;"1989-2003"
"AE";"7";2,81786839146898;NA;"1989-2003"
"AE";"8";0,266019519052753;NA;"1989-2003"
"AE";"9";0;NA;"1989-2003"
"AF";"1";0;NA;"1989-2003"
"AF";"10";0;NA;"1989-2003"
"AF";"11";0;NA;"1989-2003"
"AF";"12";0;NA;"1989-2003"
"AF";"13";0;NA;"1989-2003"
"AF";"14";0;NA;"1989-2003"
"AF";"15";0;NA;"1989-2003"
"AF";"16";0;NA;"1989-2003"
"AF";"17";0;NA;"1989-2003"
"AF";"18";0;NA;"1989-2003"
"AF";"19";0;NA;"1989-2003"
"AF";"2";0;NA;"1989-2003"
"AF";"20";0;NA;"1989-2003"
"AF";"21";0;NA;"1989-2003"
"AF";"22";0;NA;"1989-2003"
"AF";"23";0;NA;"1989-2003"
"AF";"24";0;NA;"1989-2003"
"AF";"25";0;NA;"1989-2003"
"AF";"26";0;NA;"1989-2003"
"AF";"27";0;NA;"1989-2003"
"AF";"28";0;NA;"1989-2003"
"AF";"29";0;NA;"1989-2003"
"AF";"3";0;NA;"1989-2003"
"AF";"30";0;NA;"1989-2003"
"AF";"31";0;NA;"1989-2003"
"AF";"32";0;NA;"1989-2003"
"AF";"33";0;NA;"1989-2003"
"AF";"34";0;NA;"1989-2003"
"AF";"35";0;NA;"1989-2003"
"AF";"4";0;NA;"1989-2003"
"AF";"5";0;NA;"1989-2003"
"AF";"6";0;NA;"1989-2003"
"AF";"7";0;NA;"1989-2003"
"AF";"8";0;NA;"1989-2003"
"AF";"9";0;NA;"1989-2003"
"AG";"1";4,29213938431324;NA;"1989-2003"
"AG";"10";0;NA;"1989-2003"
"AG";"11";0;NA;"1989-2003"
"AG";"12";9,45419499462023;NA;"1989-2003"
"AG";"13";0;NA;"1989-2003"
