"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AB";"1";0;NA;"2004-2018"
"AB";"10";0;NA;"2004-2018"
"AB";"11";0;NA;"2004-2018"
"AB";"12";0;NA;"2004-2018"
"AB";"13";0;NA;"2004-2018"
"AB";"14";0;NA;"2004-2018"
"AB";"15";0;NA;"2004-2018"
"AB";"16";0;NA;"2004-2018"
"AB";"17";0;NA;"2004-2018"
"AB";"18";0;NA;"2004-2018"
"AB";"19";0;NA;"2004-2018"
"AB";"2";0;NA;"2004-2018"
"AB";"20";0;NA;"2004-2018"
"AB";"21";0;NA;"2004-2018"
"AB";"22";0;NA;"2004-2018"
"AB";"23";0;NA;"2004-2018"
"AB";"24";0;NA;"2004-2018"
"AB";"25";0;NA;"2004-2018"
"AB";"26";0;NA;"2004-2018"
"AB";"27";0;NA;"2004-2018"
"AB";"28";0;NA;"2004-2018"
"AB";"29";0;NA;"2004-2018"
"AB";"3";0;NA;"2004-2018"
"AB";"30";0;NA;"2004-2018"
"AB";"31";0;NA;"2004-2018"
"AB";"32";0;NA;"2004-2018"
"AB";"33";0;NA;"2004-2018"
"AB";"34";0;NA;"2004-2018"
"AB";"35";0;NA;"2004-2018"
"AB";"4";0;NA;"2004-2018"
"AB";"5";0;NA;"2004-2018"
"AB";"6";0;NA;"2004-2018"
"AB";"7";0;NA;"2004-2018"
"AB";"8";0;NA;"2004-2018"
"AB";"9";0;NA;"2004-2018"
"AD";"1";0,779913458608431;NA;"2004-2018"
"AD";"10";0;NA;"2004-2018"
"AD";"11";0;NA;"2004-2018"
"AD";"12";0,811569746013224;NA;"2004-2018"
"AD";"13";1,58711082837491;NA;"2004-2018"
"AD";"14";1,0509073389972;NA;"2004-2018"
"AD";"15";1,28307973226899;NA;"2004-2018"
"AD";"16";0,667369104762614;NA;"2004-2018"
"AD";"17";0;NA;"2004-2018"
"AD";"18";1,35193387435456;NA;"2004-2018"
"AD";"19";0;NA;"2004-2018"
"AD";"2";1,02455566947338;NA;"2004-2018"
"AD";"20";1,36462343230086;NA;"2004-2018"
"AD";"21";1,10442904674892;NA;"2004-2018"
"AD";"22";0;NA;"2004-2018"
"AD";"23";1,41525931740659;NA;"2004-2018"
"AD";"24";0;NA;"2004-2018"
"AD";"25";1,82717160518713;NA;"2004-2018"
"AD";"26";0;NA;"2004-2018"
"AD";"27";2,27952437600896;NA;"2004-2018"
"AD";"28";1,93734971946843;NA;"2004-2018"
"AD";"29";1,41367219725574;NA;"2004-2018"
"AD";"3";1,39509970569676;NA;"2004-2018"
"AD";"30";2,75259104011625;NA;"2004-2018"
"AD";"31";0;NA;"2004-2018"
"AD";"32";0,843780097553307;NA;"2004-2018"
"AD";"33";1,12358924062433;NA;"2004-2018"
"AD";"34";0,834849461278988;NA;"2004-2018"
"AD";"35";3,45899701442386;NA;"2004-2018"
"AD";"4";0,458351227717699;NA;"2004-2018"
"AD";"5";0;NA;"2004-2018"
"AD";"6";0,713802335757014;NA;"2004-2018"
"AD";"7";2,00260963245508;NA;"2004-2018"
"AD";"8";0;NA;"2004-2018"
"AD";"9";0,600946375028222;NA;"2004-2018"
"AE";"1";0,543883593090297;0;"2004-2018"
"AE";"10";1,21428315813217;0;"2004-2018"
"AE";"11";1,30041877539787;0;"2004-2018"
"AE";"12";2,10000780124543;0;"2004-2018"
"AE";"13";1,48543405858913;6,42083720930233;"2004-2018"
"AE";"14";0,347146568437515;0;"2004-2018"
"AE";"15";0,635760227700853;0;"2004-2018"
"AE";"16";0,845066984509216;0;"2004-2018"
"AE";"17";1,65711008936713;0;"2004-2018"
"AE";"18";0,372153969416921;0;"2004-2018"
"AE";"19";0,804142512776387;0;"2004-2018"
"AE";"2";0,564069687898256;15,3046563192905;"2004-2018"
"AE";"20";0,450776509168454;0;"2004-2018"
"AE";"21";1,64171885327543;0;"2004-2018"
"AE";"22";1,02270567373886;0;"2004-2018"
"AE";"23";1,05188192509949;0;"2004-2018"
"AE";"24";1,20199881214757;0;"2004-2018"
"AE";"25";0,637101877684534;0;"2004-2018"
"AE";"26";0,146761163564564;0;"2004-2018"
"AE";"27";1,04582783350428;0;"2004-2018"
"AE";"28";0,213321790932459;0;"2004-2018"
"AE";"29";0,596695138314483;0;"2004-2018"
"AE";"3";1,84337498650623;0;"2004-2018"
"AE";"30";0,959778991298458;0;"2004-2018"
"AE";"31";0,724030588379663;0;"2004-2018"
"AE";"32";0,975541554228298;0;"2004-2018"
"AE";"33";1,05160754753128;0;"2004-2018"
"AE";"34";1,37888049160193;0;"2004-2018"
"AE";"35";1,92815711952681;0;"2004-2018"
"AE";"4";1,3626658121337;0;"2004-2018"
"AE";"5";0,868186275472276;0;"2004-2018"
"AE";"6";1,29684808748647;0,964516279286413;"2004-2018"
"AE";"7";3,25248661527364;0;"2004-2018"
"AE";"8";0,364847465250118;0;"2004-2018"
"AE";"9";0,231595950336202;0;"2004-2018"
"AF";"1";0;NA;"2004-2018"
"AF";"10";0;NA;"2004-2018"
"AF";"11";0;NA;"2004-2018"
"AF";"12";0;NA;"2004-2018"
"AF";"13";14,54851592677;NA;"2004-2018"
"AF";"14";0;NA;"2004-2018"
"AF";"15";0;NA;"2004-2018"
"AF";"16";0;NA;"2004-2018"
"AF";"17";0;NA;"2004-2018"
"AF";"18";0;NA;"2004-2018"
"AF";"19";0;NA;"2004-2018"
"AF";"2";0;NA;"2004-2018"
"AF";"20";0;NA;"2004-2018"
"AF";"21";0;NA;"2004-2018"
"AF";"22";0;NA;"2004-2018"
"AF";"23";0;NA;"2004-2018"
"AF";"24";0;NA;"2004-2018"
"AF";"25";0;NA;"2004-2018"
"AF";"26";0;NA;"2004-2018"
"AF";"27";0;NA;"2004-2018"
"AF";"28";0;NA;"2004-2018"
"AF";"29";0;NA;"2004-2018"
"AF";"3";0;NA;"2004-2018"
"AF";"30";0;NA;"2004-2018"
"AF";"31";18,0826639447821;NA;"2004-2018"
"AF";"32";0;NA;"2004-2018"
"AF";"33";0;NA;"2004-2018"
"AF";"34";0;NA;"2004-2018"
"AF";"35";0;NA;"2004-2018"
"AF";"4";0;NA;"2004-2018"
"AF";"5";0;NA;"2004-2018"
"AF";"6";0;NA;"2004-2018"
"AF";"7";0;NA;"2004-2018"
"AF";"8";0;NA;"2004-2018"
"AF";"9";0;NA;"2004-2018"
"AG";"1";3,17742520173805;NA;"2004-2018"
"AG";"10";0;NA;"2004-2018"
"AG";"11";0;NA;"2004-2018"
"AG";"12";0;NA;"2004-2018"
"AG";"13";3,23300353928223;NA;"2004-2018"
"AG";"14";0;NA;"2004-2018"
"AG";"15";0;NA;"2004-2018"
"AG";"16";8,15673350265417;NA;"2004-2018"
"AG";"17";0;NA;"2004-2018"
"AG";"18";0;NA;"2004-2018"
"AG";"19";4,05726449628086;NA;"2004-2018"
"AG";"2";0;NA;"2004-2018"
"AG";"20";0;NA;"2004-2018"
"AG";"21";0;NA;"2004-2018"
"AG";"22";0;NA;"2004-2018"
"AG";"23";0;NA;"2004-2018"
"AG";"24";0;NA;"2004-2018"
"AG";"25";0;NA;"2004-2018"
"AG";"26";0;NA;"2004-2018"
"AG";"27";0;NA;"2004-2018"
