"";"MORc(Top4_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"AR";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"AT";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"AU";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"AZ";0;0;1;74;1,54054054054054
"BA";3,18580136731483;3,18580136731483;1;52;1,75
"BB";0;0;1;74;1,54054054054054
"BE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"BG";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"BO";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"BR";3,18580136731483;3,18580136731483;1;52;1,75
"BU";48,9334485079373;48,9334485079373;2;45,5;1,59379968203498
"CA";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"CH";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"CI";0;0;1;74;1,54054054054054
"CL";50,5263491915947;50,5263491915947;2;34,5;1,69852941176471
"CM";0;0;1;74;1,54054054054054
"CN";0;0;1;74;1,54054054054054
"CO";3,18580136731483;3,18580136731483;1;52;1,75
"CR";0;0;1;74;1,54054054054054
"CS";0;0;1;74;1,54054054054054
"CU";3,18580136731483;3,18580136731483;1;52;1,75
"CY";48,9334485079373;48,9334485079373;2;45,5;1,59379968203498
"CZ";0;0;1;74;1,54054054054054
"DD";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"DE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"DK";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"EG";48,9334485079373;48,9334485079373;2;45,5;1,59379968203498
"ES";3,18580136731483;3,18580136731483;1;52;1,75
"ET";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"FI";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"FR";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"GB";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"GR";100;100;2;10,5;1,82352941176471
"GT";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"HK";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"HU";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"ID";0;0;1;74;1,54054054054054
"IE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"IL";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"IN";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"IR";0;0;1;74;1,54054054054054
"IS";0;0;1;74;1,54054054054054
"IT";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"JA";0;0;1;74;1,54054054054054
"JM";50,5263491915947;50,5263491915947;2;34,5;1,69852941176471
"JP";100;100;2;10,5;1,82352941176471
"KE";0;0;1;74;1,54054054054054
"KP";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"KR";50,5263491915947;50,5263491915947;2;34,5;1,69852941176471
"KW";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"KY";0;0;1;74;1,54054054054054
"LB";0;0;1;74;1,54054054054054
"LI";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"LK";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"LU";0;0;1;74;1,54054054054054
"MA";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"MC";0;0;1;74;1,54054054054054
"MG";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"MN";3,18580136731483;3,18580136731483;1;52;1,75
"MU";0;0;1;74;1,54054054054054
"MX";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"MY";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"NG";0;0;1;74;1,54054054054054
"NL";0;0;1;74;1,54054054054054
"NO";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"NZ";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"PA";0;0;1;74;1,54054054054054
"PE";0;0;1;74;1,54054054054054
"PH";0;0;1;74;1,54054054054054
"PK";3,18580136731483;3,18580136731483;1;52;1,75
"PL";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"PR";0;0;1;74;1,54054054054054
"PT";0;0;1;74;1,54054054054054
"PY";3,18580136731483;3,18580136731483;1;52;1,75
"RO";0;0;1;74;1,54054054054054
"RU";51,0665514920627;51,0665514920627;2;39;1,77027027027027
"SA";0;0;1;74;1,54054054054054
"SC";3,18580136731483;3,18580136731483;1;52;1,75
"SE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"SG";51,0665514920627;51,0665514920627;2;39;1,77027027027027
"SK";0;0;1;74;1,54054054054054
"SN";50,5263491915947;50,5263491915947;2;34,5;1,69852941176471
"ST";0;0;1;74;1,54054054054054
"SU";0;0;1;74;1,54054054054054
"SV";0;0;1;74;1,54054054054054
"SY";97,8668970158745;97,8668970158745;1;17;1,64705882352941
"TH";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"TN";0;0;1;74;1,54054054054054
"TR";0;0;1;74;1,54054054054054
"TW";3,18580136731483;3,18580136731483;1;52;1,75
"TZ";3,18580136731483;3,18580136731483;1;52;1,75
"US";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"VE";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"VN";48,9334485079373;48,9334485079373;2;45,5;1,59379968203498
"WS";50,5263491915947;50,5263491915947;2;34,5;1,69852941176471
"YU";1,59290068365741;1,59290068365741;2;63;1,64527027027027
"ZA";3,18580136731483;3,18580136731483;1;52;1,75
"ZR";3,18580136731483;3,18580136731483;1;52;1,75
"ZW";0;0;1;74;1,54054054054054
