"";"MORc(mat_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AB";88,1710780753892;88,1710780753892;1;55;13,2181818181818
"AD";68,0492773479482;68,0492773479482;15;82,2666666666667;12,1998182053432
"AE";56,6099119337443;56,6099119337443;14;82,3571428571428;11,8911647989022
"AF";59,3633335918473;59,3633335918473;9;75;11,8430720037689
"AG";56,0295623239541;56,0295623239541;12;85,6666666666667;11,6998255058524
"AI";68,7793077760576;68,7793077760576;8;73,5;12,0679440175061
"AL";71,348143048699;71,348143048699;14;81,8571428571428;12,2268985580448
"AM";52,4048643088699;52,4048643088699;10;80,7;11,9922704235982
"AN";53,0183770594721;53,0183770594721;11;80,5454545454545;11,9686130892676
"AO";66,4118446634309;66,4118446634309;14;70,8571428571428;12,2028836348559
"AP";58,777155499897;58,777155499897;7;73,2857142857143;11,5373220302085
"AR";53,8327609506824;53,8327609506824;12;91,1666666666667;11,8218288788067
"AS";80,6955840823146;80,6955840823146;1;91;12,1208791208791
"AT";68,101535813815;68,101535813815;19;73,7368421052632;12,2584406236561
"AU";61,8947041143973;61,8947041143973;13;95,6923076923077;12,0745865326539
"AW";68,0742980137199;68,0742980137199;8;86,875;12,2704838780306
"AX";59,6728895349294;59,6728895349294;2;64;10,9219544846051
"AZ";77,1483040547522;77,1483040547522;9;80,6666666666667;12,5541718441274
"BA";64,5741458661003;64,5741458661003;12;91,4166666666667;11,7936095958828
"BB";51,6803932750114;51,6803932750114;14;87,1428571428571;11,7741064685788
"BC";38,5265394767377;38,5265394767377;2;120,5;10,4218728014633
"BD";53,3935898175566;53,3935898175566;12;84,1666666666667;11,9971521602945
"BE";66,3684791274075;66,3684791274075;16;77,25;12,313294821427
"BF";58,9182716616736;58,9182716616736;8;105;11,5622439241522
"BG";65,1270091386731;65,1270091386731;11;76,9090909090909;12,0348841448311
"BH";67,8000824271627;67,8000824271627;15;80,2;12,1315352248051
"BI";87,2859469478458;87,2859469478458;5;71,6;12,3434813215458
"BJ";64,9824076135571;64,9824076135571;12;77,4166666666667;11,9417382800585
"BL";74,2879390555933;74,2879390555933;2;110,5;11,5550462720447
"BM";48,0584652378891;48,0584652378891;11;87,3636363636364;11,6385136092654
"BN";64,0650066812821;64,0650066812821;12;70,4166666666667;11,9942736293862
"BO";71,8165701083494;71,8165701083494;12;82,6666666666667;12,1610209689086
"BQ";57,4139543721418;57,4139543721418;2;66,5;11,4383838383838
"BR";75,0370377067948;75,0370377067948;18;86,2777777777778;12,4904126367504
"BS";58,7628810233164;58,7628810233164;12;96,8333333333333;11,8172318127222
"BT";58,7646781963399;58,7646781963399;4;98,25;11,6131097161814
"BU";70,8187979764963;70,8187979764963;3;86,6666666666667;12,5893661893662
"BW";67,1358599269007;67,1358599269007;9;92,7777777777778;12,2704685009031
"BY";75,4305083397054;75,4305083397054;15;65,5333333333333;12,5306790312757
"BZ";59,8204153344924;59,8204153344924;10;87,2;11,7474173995715
"CA";48,8476146276715;48,8476146276715;14;92,3571428571428;11,7234776740853
"CD";66,637709590967;66,637709590967;4;94,75;11,6595806871503
"CF";72,6902729121832;72,6902729121832;1;89;13,0337078651685
"CG";65,7239273746137;65,7239273746137;13;83;12,1744710936346
"CH";70,5502447869256;70,5502447869256;15;80,5333333333333;12,588903210048
"CI";72,7448158065189;72,7448158065189;15;81,9333333333333;12,3383630641828
"CK";78,0515631172195;78,0515631172195;2;90,5;12,3724340175953
"CL";78,5948671201718;78,5948671201718;16;80,125;12,5861765457456
"CM";63,6209323559802;63,6209323559802;9;85,5555555555556;12,3775695863865
"CN";73,8665546671997;73,8665546671997;18;71,8888888888889;12,410024557838
"CO";76,0894738863257;76,0894738863257;14;85,3571428571428;12,6105249959286
"CR";49,6092230097581;49,6092230097581;10;83,7;11,7329992849838
"CS";42,0810111616428;42,0810111616428;7;96,1428571428571;11,3693179099417
"CT";71,991431705247;71,991431705247;4;96,25;12,1503763488826
"CU";69,088883203835;69,088883203835;8;88,75;12,5824205628956
"CV";55,8096056441033;55,8096056441033;6;86,8333333333333;11,2938523933888
"CW";39,608181403989;39,608181403989;4;81;11,2073624351313
"CX";70,1018569273291;70,1018569273291;1;96;12,1875
"CY";57,2864471706324;57,2864471706324;15;92,6;11,7999616439037
"CZ";74,8102293031715;74,8102293031715;17;75,8235294117647;12,4727208351112
"DD";67,301228345342;67,301228345342;12;58,5;12,3547127415262
"DE";72,3457131071909;72,3457131071909;13;71,6153846153846;12,3773794614791
"DJ";75,6160847417697;75,6160847417697;8;76,375;12,3186398102323
"DK";65,99359494178;65,99359494178;16;85;12,3491103473696
"DM";39,4846446239724;39,4846446239724;4;91,25;10,6922314600411
"DO";62,9798995148027;62,9798995148027;14;91,1428571428571;11,9216837098248
"DZ";66,3627364314337;66,3627364314337;14;80,9285714285714;12,2216572755122
"EA";70,1018569273291;70,1018569273291;1;96;12,1875
"EC";75,6026283564964;75,6026283564964;12;90,5833333333333;12,5188073559449
"EE";58,7074317678524;58,7074317678524;14;90,0714285714286;11,9201962328471
"EG";46,0839291671142;46,0839291671142;11;83,5454545454545;11,5560143450912
"EP";54,1833952200896;54,1833952200896;7;101,285714285714;11,5783103828651
"ER";59,1619693139908;59,1619693139908;3;100;11,6594330008292
"ES";73,416025852918;73,416025852918;17;86,0588235294118;12,4622392344629
"ET";57,3801039633583;57,3801039633583;13;69,3076923076923;11,9007015918121
"FI";43,0931582312227;43,0931582312227;9;77;11,6220253055277
"FJ";55,7318446626814;55,7318446626814;6;71,3333333333333;11,4708803540072
"FK";71,0000907396732;71,0000907396732;1;138;11,6884057971014
"FL";59,6324836672883;59,6324836672883;10;66,4;11,9886571633519
"FM";71,0000907396732;71,0000907396732;1;138;11,6884057971014
"FO";78,8736354798625;78,8736354798625;8;77,75;12,4070843131414
"FR";72,228256478035;72,228256478035;12;87;12,5578719849349
"GA";63,8113418497965;63,8113418497965;17;83,3529411764706;12,2533759179045
"GB";55,804173739499;55,804173739499;18;89,4444444444444;11,8494565076071
"GD";60,8487359543642;60,8487359543642;10;86,4;11,8056240474819
"GE";60,5690691465882;60,5690691465882;13;80,5384615384615;11,8596809237276
"GF";45,7219276462293;45,7219276462293;4;98,5;11,4141110841685
"GG";74,2453654964193;74,2453654964193;4;90,25;12,3518435821425
"GH";57,363924150113;57,363924150113;8;88,375;11,9241575233997
"GI";55,1644075635289;55,1644075635289;7;93,8571428571428;11,6714283656971
"GL";33,5331953062135;33,5331953062135;5;78,8;10,7206840835349
"GM";6,05298821380212;6,05298821380212;1;103;9,15533980582524
"GN";61,7280098821718;61,7280098821718;5;91,6;11,7500300188759
"GP";65,0736030543179;65,0736030543179;6;101;11,8470337429165
"GQ";35,2879506387783;35,2879506387783;5;78,6;11,053017880709
"GR";72,8241929763022;72,8241929763022;16;84,375;12,4616531475561
"GT";65,6012415693579;65,6012415693579;14;81,3571428571428;12,1899316999033
"GU";71,0000907396732;71,0000907396732;1;138;11,6884057971014
"GY";80,3104982800072;80,3104982800072;2;88;11,8560046638166
"HA";6,05298821380212;6,05298821380212;1;103;9,15533980582524
"HK";50,3645862484626;50,3645862484626;15;76,6666666666667;11,9437989784332
"HN";65,7617385438938;65,7617385438938;17;77,7058823529412;12,199191070732
"HR";75,1476842254383;75,1476842254383;15;88,2;12,3828866330197
"HT";70,7130158518585;70,7130158518585;2;64;11,3886211512718
"HU";71,7231968809617;71,7231968809617;12;87,6666666666667;12,2673343053421
"IB";87,8791715174402;87,8791715174402;2;79,5;12,2966764418377
"ID";56,7136235474339;56,7136235474339;19;74,6315789473684;12,0471917783159
"IE";40,0635617312341;40,0635617312341;10;85,7;11,5492457672335
"IL";41,2654641978963;41,2654641978963;10;93,4;11,4777387558653
"IM";61,896383306561;61,896383306561;12;84,6666666666667;11,920793282069
"IN";44,5614328148666;44,5614328148666;9;92,7777777777778;11,4305687305531
"IO";6,05298821380212;6,05298821380212;1;103;9,15533980582524
"IQ";69,5564635678857;69,5564635678857;13;83,0769230769231;12,3189432976553
"IR";76,4123604587777;76,4123604587777;14;79,3571428571428;12,633087148601
"IS";59,9420633014956;59,9420633014956;10;96,5;11,9961949700875
"IT";73,3188171776878;73,3188171776878;14;84,8571428571428;12,4851526413852
"JE";54,9593655340187;54,9593655340187;13;60,6153846153846;12,0882037773857
"JM";56,6063670273696;56,6063670273696;15;81,3333333333333;11,9318576024033
"JO";63,06383039324;63,06383039324;10;93,6;11,9498995353394
"JP";57,9918094419074;57,9918094419074;15;59,6666666666667;12,1250032108335
"KE";54,5515436953738;54,5515436953738;11;91,2727272727273;11,579898056696
"KG";77,0198393883221;77,0198393883221;11;72,5454545454545;12,3575423772813
"KH";66,8396762303631;66,8396762303631;9;86,4444444444444;12,3503728614558
"KI";11,1340241027746;11,1340241027746;2;69;10,1919556171983
"KM";68,2440394804245;68,2440394804245;2;111,5;12,3142266335815
"KN";81,2559016052805;81,2559016052805;3;73,3333333333333;12,4683708287855
"KP";48,7837901424613;48,7837901424613;13;68,4615384615385;11,6278302347005
"KR";44,6117880173056;44,6117880173056;11;65,0909090909091;11,6640868523329
"KS";83,9139724799997;83,9139724799997;3;45,6666666666667;12,7516511266511
"KW";71,400339476322;71,400339476322;14;92,4285714285714;12,2400322147765
"KY";20,6681970310746;20,6681970310746;6;74,6666666666667;10,9054357554041
"KZ";76,9454762897908;76,9454762897908;12;80,5833333333333;12,4020353626964
"LA";69,9437363901652;69,9437363901652;12;79,9166666666667;12,1498463968548
"LB";49,7891489188758;49,7891489188758;14;90,5714285714286;11,7860855391663
