"";"MORc(Top3_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";0;0;1;85;1,24705882352941
"AE";0;0;1;85;1,24705882352941
"AM";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"AN";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"AO";0;0;1;85;1,24705882352941
"AR";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"AT";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"AU";100;100;1;94;1,47872340425532
"AZ";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"BA";0;0;1;85;1,24705882352941
"BB";0;0;1;85;1,24705882352941
"BD";100;100;1;94;1,47872340425532
"BE";100;100;1;94;1,47872340425532
"BG";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"BH";0;0;1;85;1,24705882352941
"BM";0;0;1;85;1,24705882352941
"BN";100;100;1;94;1,47872340425532
"BR";100;100;1;94;1,47872340425532
"BS";0;0;1;85;1,24705882352941
"BT";0;0;1;85;1,24705882352941
"BY";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"BZ";0;0;1;85;1,24705882352941
"CA";0;0;1;85;1,24705882352941
"CF";100;100;1;94;1,47872340425532
"CG";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"CH";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"CL";100;100;1;94;1,47872340425532
"CN";0;0;1;85;1,24705882352941
"CO";100;100;1;94;1,47872340425532
"CR";0;0;1;85;1,24705882352941
"CS";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"CU";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"CV";0;0;1;85;1,24705882352941
"CW";0;0;1;85;1,24705882352941
"CY";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"CZ";100;100;1;94;1,47872340425532
"DD";100;100;1;94;1,47872340425532
"DE";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"DJ";100;100;1;94;1,47872340425532
"DK";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"DM";0;0;1;85;1,24705882352941
"DO";0;0;1;85;1,24705882352941
"DZ";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"EC";100;100;1;94;1,47872340425532
"EE";100;100;1;94;1,47872340425532
"EG";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"ES";100;100;1;94;1,47872340425532
"ET";50;50;2;89,5;1,36289111389237
"FI";0;0;1;85;1,24705882352941
"FJ";0;0;1;85;1,24705882352941
"FO";0;0;1;85;1,24705882352941
"FR";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"GA";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"GB";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"GD";0;0;1;85;1,24705882352941
"GE";0;0;1;85;1,24705882352941
"GF";100;100;1;94;1,47872340425532
"GH";50;50;2;89,5;1,36289111389237
"GI";0;0;1;85;1,24705882352941
"GL";0;0;1;85;1,24705882352941
"GQ";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"GR";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"GT";0;0;1;85;1,24705882352941
"HK";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
"HN";85,4906189264574;85,4906189264574;1;63;1,79365079365079
"HR";100;100;1;94;1,47872340425532
"HU";50;50;2;89,5;1,36289111389237
"ID";0;0;1;85;1,24705882352941
"IE";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"IL";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"IN";42,7453094632287;42,7453094632287;2;74;1,5203548085901
"IQ";50;50;2;89,5;1,36289111389237
"IR";100;100;1;94;1,47872340425532
"IS";92,7453094632287;92,7453094632287;2;78,5;1,63618709895306
