"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"CN";1;0,781285306548244;0;"1974-1988";"Electrical machinery, apparatus, energy";0;0;0
"CN";10;1,23064267920445;0;"1974-1988";"Measurement";1;0;1
"CN";11;0,948308673876606;0;"1974-1988";"Analysis of biological materials";0;0;0
"CN";12;0,742406953888999;0;"1974-1988";"Control";0;0;0
"CN";13;1,35423710909319;0;"1974-1988";"Medical technology";1;0;1
"CN";14;0,932742652310564;0;"1974-1988";"Organic fine chemistry";0;0;0
"CN";15;1,46076640806079;0;"1974-1988";"Biotechnology";1;0;1
"CN";16;1,23058926243727;0;"1974-1988";"Pharmaceuticals";1;0;1
"CN";17;0,998120970246342;0;"1974-1988";"Macromolecular chemistry, polymers";0;0;0
"CN";18;3,50975079299655;0;"1974-1988";"Food chemistry";1;0;1
"CN";19;2,40223530225134;0;"1974-1988";"Basic materials chemistry ";1;0;1
"CN";2;0,281205160490934;0;"1974-1988";"Audio-visual technology";0;0;0
"CN";20;2,87423436919224;0;"1974-1988";"Materials, metallurgy";1;0;1
"CN";21;1,42468145497859;0;"1974-1988";"Surface technology, coating";1;0;1
"CN";22;0;0;"1974-1988";"Micro-structural and nano-technology";0;0;0
"CN";23;1,48205455478282;0;"1974-1988";"Chemical engineering";1;0;1
"CN";24;1,2749677242726;0;"1974-1988";"Environmental technology";1;0;1
"CN";25;0,4521896863959;0;"1974-1988";"Handling";0;0;0
"CN";26;1,01420757748794;0;"1974-1988";"Machine tools";1;0;1
"CN";27;1,09458145438984;0;"1974-1988";"Engines, pumps, turbines";1;0;1
"CN";28;0,739542685598139;0;"1974-1988";"Textile and paper machines";0;0;0
"CN";29;1,04410300074879;0;"1974-1988";"Other special machines";1;0;1
"CN";3;0,346891200617381;0;"1974-1988";"Telecommunications";0;0;0
"CN";30;0,894625447243346;0;"1974-1988";"Thermal processes and apparatus";0;0;0
"CN";31;0,950668458490732;0;"1974-1988";"Mechanical elements";0;0;0
"CN";32;0,920752736170686;0;"1974-1988";"Transport";0;0;0
"CN";33;1,11783709771739;0;"1974-1988";"Furniture, games";1;0;1
"CN";34;1,74482958237182;0;"1974-1988";"Other consumer goods";1;0;1
"CN";35;1,01172143802558;0;"1974-1988";"Civil engineering";1;0;1
"CN";4;0,206978925416903;0;"1974-1988";"Digital communication";0;0;0
"CN";5;0,379387109049058;0;"1974-1988";"Basic communication processes";0;0;0
"CN";6;0,534936673226541;0;"1974-1988";"Computer technology";0;0;0
"CN";7;0;0;"1974-1988";"IT methods for management";0;0;0
"CN";8;0,23934842224045;0;"1974-1988";"Semiconductors";0;0;0
"CN";9;0,421741379009969;0;"1974-1988";"Optics";0;0;0
"JP";1;1,1268685164478;1,4025974025974;"1974-1988";"Electrical machinery, apparatus, energy";1;1;2
"JP";10;1,01097595019287;1,20222634508349;"1974-1988";"Measurement";1;1;2
"JP";11;0,706791367037978;0;"1974-1988";"Analysis of biological materials";0;0;0
"JP";12;1,06445474270341;1,09577922077922;"1974-1988";"Control";1;1;2
"JP";13;0,610406051187463;0,701298701298701;"1974-1988";"Medical technology";0;0;0
"JP";14;0,61772331903852;0;"1974-1988";"Organic fine chemistry";0;0;0
"JP";15;0,825908220458971;0;"1974-1988";"Biotechnology";0;0;0
"JP";16;0,655342680902183;0;"1974-1988";"Pharmaceuticals";0;0;0
"JP";17;0,925665509500542;0;"1974-1988";"Macromolecular chemistry, polymers";0;0;0
"JP";18;0,996317260922864;0;"1974-1988";"Food chemistry";0;0;0
"JP";19;0,796429717803844;0;"1974-1988";"Basic materials chemistry ";0;0;0
"JP";2;1,34188556343943;1,4025974025974;"1974-1988";"Audio-visual technology";1;1;2
"JP";20;1,0856600761482;1,4025974025974;"1974-1988";"Materials, metallurgy";1;1;2
"JP";21;1,14680572920458;0;"1974-1988";"Surface technology, coating";1;0;1
"JP";22;1,02975247246127;0;"1974-1988";"Micro-structural and nano-technology";1;0;1
"JP";23;0,804590845898766;1,4025974025974;"1974-1988";"Chemical engineering";0;1;1
"JP";24;0,955959852150159;1,4025974025974;"1974-1988";"Environmental technology";0;1;1
"JP";25;0,818917557132114;0,701298701298701;"1974-1988";"Handling";0;0;0
"JP";26;0,960579782983429;1,4025974025974;"1974-1988";"Machine tools";0;1;1
"JP";27;1,05567048494352;0,701298701298701;"1974-1988";"Engines, pumps, turbines";1;0;1
"JP";28;1,10028624776967;0;"1974-1988";"Textile and paper machines";1;0;1
"JP";29;0,823472836162185;1,4025974025974;"1974-1988";"Other special machines";0;1;1
