"ctry_code";"Rel_density";"Period"
"AG";2;"1974-1978"
"AR";46;"1974-1978"
"AT";29;"1974-1978"
"AU";50;"1974-1978"
"BA";13;"1974-1978"
"BE";46;"1974-1978"
"BG";44;"1974-1978"
"BR";44;"1974-1978"
"BS";36;"1974-1978"
"CA";52;"1974-1978"
"CH";35;"1974-1978"
"CL";35;"1974-1978"
"CS";35;"1974-1978"
"CZ";32;"1974-1978"
"DD";33;"1974-1978"
"DE";51;"1974-1978"
"DK";56;"1974-1978"
"ES";38;"1974-1978"
"FI";45;"1974-1978"
"FR";51;"1974-1978"
"GB";39;"1974-1978"
"GC";5;"1974-1978"
"GR";29;"1974-1978"
"HK";19;"1974-1978"
"HU";33;"1974-1978"
"IE";42;"1974-1978"
"IL";46;"1974-1978"
"IN";39;"1974-1978"
"IR";20;"1974-1978"
"IT";31;"1974-1978"
"JP";57;"1974-1978"
"KR";38;"1974-1978"
"LI";32;"1974-1978"
"LU";43;"1974-1978"
"MA";31;"1974-1978"
"MC";30;"1974-1978"
"MX";43;"1974-1978"
"NL";43;"1974-1978"
"NO";32;"1974-1978"
"NZ";32;"1974-1978"
"PA";21;"1974-1978"
"PL";36;"1974-1978"
"PT";34;"1974-1978"
"RO";33;"1974-1978"
"RU";35;"1974-1978"
"SC";41;"1974-1978"
"SE";42;"1974-1978"
"SG";11;"1974-1978"
"ST";20;"1974-1978"
"SU";24;"1974-1978"
"TT";1;"1974-1978"
"TW";35;"1974-1978"
"US";50;"1974-1978"
"VE";27;"1974-1978"
"YU";22;"1974-1978"
"ZA";46;"1974-1978"
"CN";35;"1974-1978"
"CO";35;"1974-1978"
"SA";8;"1974-1978"
"UY";1;"1974-1978"
"BD";0;"1974-1978"
"TR";11;"1974-1978"
"BU";NA;"1974-1978"
"ET";0;"1974-1978"
"LK";0;"1974-1978"
"BO";15;"1974-1978"
"GH";NA;"1974-1978"
"MN";2;"1974-1978"
"MU";2;"1974-1978"
"GT";0;"1974-1978"
"ID";8;"1974-1978"
"IS";14;"1974-1978"
"JA";NA;"1974-1978"
"KE";2;"1974-1978"
"PK";NA;"1974-1978"
"ZW";28;"1974-1978"
"KP";1;"1974-1978"
"TZ";NA;"1974-1978"
"CU";16;"1974-1978"
"EC";15;"1974-1978"
"EG";8;"1974-1978"
"KN";0;"1974-1978"
"PE";20;"1974-1978"
"UK";8;"1974-1978"
"BM";6;"1974-1978"
"IQ";4;"1974-1978"
"JM";0;"1974-1978"
"MY";15;"1974-1978"
"PH";33;"1974-1978"
