"ctry_code";"Period";"Actual_Share_coinciding";"Actual_Share_Round_AI";"Actual_Share_Round_general";"Actual_persistent_coinciding";"Actual_persistent_justGeneral";"Actual_persistent_justAI";"Actual_n_persistent_Round_AI";"Actual_n_AI_prev_coinciding";"Actual_n_coinciding_prev_AI";"Actual_n_AI_prev_gen";"Actual_n_persistent_core_fields";"Actual_n_persistent_NOT_core_fields";"Actual_n_persistent_coin_core_fields";"Actual_n_persistent_coin_NOT_core_fields";"Actual_AI_core_fields";"Actual_AI_not_core_fields"
"CN";"1974-1988";0;0;0,457142857142857;0;0;0;0;0;0;0;0;0;0;0;0;0
"CN";"1989-2003";0,428571428571429;0,342857142857143;0,4;0;4;0;0;0;0;4;0;0;0;0;1;11
"CN";"2004-2018";0,611111111111111;0,4;0,514285714285714;3;4;1;7;0;3;0;1;6;0;3;3;11
"JP";"1974-1988";0,588235294117647;0,457142857142857;0,485714285714286;0;0;0;0;0;0;0;0;0;0;0;3;13
"JP";"1989-2003";0,5625;0,457142857142857;0,457142857142857;4;1;3;7;0;0;0;0;7;0;4;1;15
"JP";"2004-2018";0,733333333333333;0,657142857142857;0,428571428571429;6;2;4;12;1;1;1;0;12;0;6;1;22
"KR";"1974-1988";0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
"KR";"1989-2003";0,642857142857143;0,428571428571429;0,4;0;1;0;0;0;0;1;0;0;0;0;0;15
"KR";"2004-2018";0,916666666666667;0,571428571428571;0,342857142857143;6;1;2;9;0;1;0;0;9;0;6;1;19
"US";"1974-1988";0,176470588235294;0,228571428571429;0,485714285714286;0;0;0;0;0;0;0;0;0;0;0;1;7
"US";"1989-2003";0,5625;0,4;0,457142857142857;2;5;1;5;1;1;2;0;5;0;2;3;11
"US";"2004-2018";0,692307692307692;0,371428571428571;0,371428571428571;4;1;1;7;1;1;1;0;7;0;4;1;12
