"ctry_code";"techn_field_nr";"RCA";"permutation_number"
"DE";"12";1;0
"DE";"13";0;0
"DE";"30";1,5;0
"DE";"6";0;0
"JP";"12";2;0
"JP";"13";0;0
"JP";"30";0;0
"JP";"6";0;0
"US";"12";0;0
"US";"13";6;0
"US";"30";0;0
"US";"6";0;0
"DE";"12";1,16666666666667;1
"DE";"28";0;1
"DE";"30";1,75;1
"DE";"9";0;1
"JP";"12";0;1
"JP";"28";0;1
"JP";"30";0;1
"JP";"9";7;1
"US";"12";1,16666666666667;1
"US";"28";3,5;1
"US";"30";0;1
"US";"9";0;1
"DE";"1";0;2
"DE";"12";1,5;2
"DE";"17";0;2
"DE";"19";0;2
"DE";"21";0;2
"DE";"29";0;2
"DE";"30";1,5;2
"JP";"1";0;2
"JP";"12";0;2
"JP";"17";0;2
"JP";"19";0;2
"JP";"21";0;2
"JP";"29";0;2
"JP";"30";0;2
"US";"1";3;2
"US";"12";0;2
"US";"17";3;2
"US";"19";0;2
"US";"21";0;2
"US";"29";0;2
"US";"30";0;2
"DE";"12";1,5;3
"DE";"26";0;3
"DE";"27";0;3
"DE";"29";0;3
"DE";"30";1,5;3
"JP";"12";0;3
"JP";"26";0;3
"JP";"27";6;3
"JP";"29";0;3
"JP";"30";0;3
"US";"12";0;3
"US";"26";0;3
"US";"27";0;3
"US";"29";6;3
"US";"30";0;3
"DE";"12";1,5;4
"DE";"23";0;4
"DE";"26";0;4
"DE";"29";0;4
"DE";"30";1,5;4
"DE";"31";0;4
"JP";"12";0;4
"JP";"23";0;4
"JP";"26";0;4
"JP";"29";6;4
"JP";"30";0;4
"JP";"31";0;4
"US";"12";0;4
"US";"23";6;4
"US";"26";0;4
"US";"29";0;4
"US";"30";0;4
"US";"31";0;4
"DE";"1";0;5
"DE";"10";0;5
"DE";"12";1,5;5
"DE";"17";0;5
"DE";"19";0;5
"DE";"30";1,5;5
"DE";"31";0;5
"JP";"1";0;5
"JP";"10";0;5
"JP";"12";0;5
"JP";"17";0;5
"JP";"19";0;5
"JP";"30";0;5
"JP";"31";6;5
"US";"1";0;5
"US";"10";6;5
"US";"12";0;5
"US";"17";0;5
"US";"19";0;5
"US";"30";0;5
"US";"31";0;5
"DE";"12";1,75;6
"DE";"20";0;6
"DE";"24";0;6
"DE";"27";0;6
"DE";"30";1,75;6
"JP";"12";0;6
"JP";"20";0;6
