"ctry_code";"techn_field_nr";"RCA";"permutation_number"
"JP";"10";1,11111111111111;0
"JP";"12";1,11111111111111;0
"JP";"6";0;0
"US";"10";0;0
"US";"12";0;0
"US";"6";10;0
"JP";"10";1,14285714285714;1
"JP";"17";0;1
"JP";"2";1,14285714285714;1
"JP";"26";1,14285714285714;1
"JP";"28";1,14285714285714;1
"JP";"29";0;1
"JP";"33";0;1
"JP";"5";0;1
"JP";"6";0;1
"JP";"9";1,14285714285714;1
"US";"10";0;1
"US";"17";0;1
"US";"2";0;1
"US";"26";0;1
"US";"28";0;1
"US";"29";0;1
"US";"33";8;1
"US";"5";0;1
"US";"6";0;1
"US";"9";0;1
"JP";"1";0;2
"JP";"11";1;2
"JP";"14";0;2
"JP";"15";0;2
"JP";"16";0;2
"JP";"19";0;2
"JP";"2";1;2
"JP";"20";1;2
"JP";"24";0;2
"JP";"28";1;2
"JP";"29";0;2
"JP";"32";1;2
"JP";"5";0;2
"JP";"8";0;2
"US";"1";0;2
"US";"11";0;2
"US";"14";0;2
"US";"15";0;2
"US";"16";0;2
"US";"19";0;2
"US";"2";0;2
"US";"20";0;2
"US";"24";0;2
"US";"28";0;2
"US";"29";0;2
"US";"32";0;2
"US";"5";0;2
"US";"8";0;2
"JP";"1";0,75;3
"JP";"12";0;3
"JP";"2";1,125;3
"JP";"23";1,125;3
"JP";"25";0;3
"JP";"26";1,125;3
"JP";"34";0;3
"JP";"6";0;3
"JP";"9";1,125;3
"US";"1";3;3
"US";"12";0;3
"US";"2";0;3
"US";"23";0;3
"US";"25";0;3
"US";"26";0;3
"US";"34";0;3
"US";"6";0;3
"US";"9";0;3
"JP";"1";1,14285714285714;4
"JP";"24";0;4
"JP";"25";0;4
"JP";"26";1,14285714285714;4
"JP";"28";1,14285714285714;4
"JP";"30";0;4
"JP";"32";0,571428571428571;4
"JP";"5";1,14285714285714;4
"JP";"6";1,14285714285714;4
"JP";"8";1,14285714285714;4
"US";"1";0;4
"US";"24";0;4
"US";"25";0;4
"US";"26";0;4
"US";"28";0;4
"US";"30";0;4
"US";"32";4;4
"US";"5";0;4
"US";"6";0;4
"US";"8";0;4
"JP";"1";0;5
"JP";"13";0;5
"JP";"17";1,125;5
"JP";"19";1,125;5
"JP";"20";0;5
"JP";"27";1,125;5
"JP";"3";0;5
"JP";"31";1,125;5
"JP";"33";1,125;5
"JP";"9";1,125;5
"US";"1";0;5
"US";"13";9;5
"US";"17";0;5
"US";"19";0;5
"US";"20";0;5
"US";"27";0;5
"US";"3";0;5
"US";"31";0;5
"US";"33";0;5
"US";"9";0;5
"JP";"1";1,11111111111111;6
"JP";"2";1,11111111111111;6
"JP";"20";1,11111111111111;6
"JP";"25";0;6
"JP";"28";0;6
"JP";"3";1,11111111111111;6
"JP";"30";1,11111111111111;6
"JP";"9";1,11111111111111;6
"US";"1";0;6
"US";"2";0;6
"US";"20";0;6
"US";"25";0;6
"US";"28";10;6
"US";"3";0;6
"US";"30";0;6
"US";"9";0;6
"JP";"1";0;7
"JP";"10";0;7
"JP";"17";1;7
"JP";"20";1;7
"JP";"21";1;7
"JP";"23";1;7
"JP";"24";1;7
"JP";"26";0;7
"JP";"27";1;7
"JP";"28";0;7
"JP";"29";1;7
"JP";"31";0;7
"JP";"5";0;7
"JP";"8";0;7
"JP";"9";0;7
"US";"1";0;7
"US";"10";0;7
"US";"17";0;7
"US";"20";0;7
"US";"21";0;7
"US";"23";0;7
"US";"24";0;7
"US";"26";0;7
"US";"27";0;7
"US";"28";0;7
"US";"29";0;7
"US";"31";0;7
"US";"5";0;7
"US";"8";0;7
"US";"9";0;7
"JP";"1";1,14285714285714;8
"JP";"10";0;8
"JP";"13";0;8
"JP";"19";1,14285714285714;8
"JP";"21";1,14285714285714;8
"JP";"26";1,14285714285714;8
"JP";"27";0;8
"JP";"31";1,14285714285714;8
"JP";"33";1,14285714285714;8
"JP";"8";0;8
"JP";"9";0;8
"US";"1";0;8
"US";"10";0;8
"US";"13";8;8
"US";"19";0;8
"US";"21";0;8
"US";"26";0;8
"US";"27";0;8
"US";"31";0;8
"US";"33";0;8
"US";"8";0;8
"US";"9";0;8
"JP";"1";0;9
"JP";"12";1,125;9
"JP";"14";0;9
"JP";"19";1,125;9
"JP";"20";0;9
"JP";"23";1,125;9
"JP";"25";1,125;9
"JP";"26";1,125;9
"JP";"29";1,125;9
"JP";"31";1,125;9
"JP";"6";0;9
"JP";"7";0;9
"JP";"8";0;9
"US";"1";9;9
"US";"12";0;9
"US";"14";0;9
"US";"19";0;9
"US";"20";0;9
"US";"23";0;9
"US";"25";0;9
"US";"26";0;9
"US";"29";0;9
"US";"31";0;9
"US";"6";0;9
"US";"7";0;9
"US";"8";0;9
"JP";"1";1,11111111111111;10
"JP";"17";0,555555555555555;10
"JP";"23";0;10
"JP";"24";0;10
"JP";"26";1,11111111111111;10
"JP";"27";1,11111111111111;10
"JP";"5";1,11111111111111;10
"JP";"8";1,11111111111111;10
"JP";"9";1,11111111111111;10
"US";"1";0;10
"US";"17";5;10
"US";"23";0;10
"US";"24";0;10
"US";"26";0;10
"US";"27";0;10
"US";"5";0;10
"US";"8";0;10
"US";"9";0;10
"JP";"10";1,14285714285714;11
"JP";"13";1,14285714285714;11
"JP";"14";0,571428571428571;11
"JP";"2";1,14285714285714;11
"JP";"21";0;11
"JP";"25";0;11
"JP";"29";1,14285714285714;11
"JP";"3";0;11
"JP";"34";1,14285714285714;11
"JP";"4";0;11
"US";"10";0;11
"US";"13";0;11
"US";"14";4;11
"US";"2";0;11
"US";"21";0;11
"US";"25";0;11
"US";"29";0;11
"US";"3";0;11
"US";"34";0;11
"US";"4";0;11
"JP";"1";1,125;12
"JP";"10";1,125;12
"JP";"12";0;12
"JP";"19";0;12
"JP";"20";0;12
"JP";"21";1,125;12
"JP";"25";1,125;12
"JP";"26";1,125;12
"JP";"28";1,125;12
"JP";"32";0;12
"JP";"6";0;12
"JP";"9";0;12
"US";"1";0;12
"US";"10";0;12
"US";"12";0;12
"US";"19";0;12
"US";"20";0;12
"US";"21";0;12
"US";"25";0;12
"US";"26";0;12
"US";"28";0;12
"US";"32";0;12
"US";"6";9;12
"US";"9";0;12
"JP";"1";1,125;13
"JP";"17";0;13
"JP";"19";1,125;13
"JP";"2";0;13
"JP";"23";1,125;13
"JP";"25";1,125;13
"JP";"26";0;13
"JP";"29";0,5625;13
"JP";"31";1,125;13
"JP";"35";0;13
"JP";"5";1,125;13
"JP";"6";1,125;13
"US";"1";0;13
"US";"17";0;13
"US";"19";0;13
"US";"2";0;13
"US";"23";0;13
"US";"25";0;13
"US";"26";0;13
"US";"29";4,5;13
"US";"31";0;13
"US";"35";0;13
"US";"5";0;13
"US";"6";0;13
"JP";"1";1,125;14
"JP";"25";1,125;14
"JP";"3";1,125;14
"JP";"31";1,125;14
"JP";"4";0;14
"JP";"6";0;14
"JP";"8";1,125;14
"US";"1";0;14
"US";"25";0;14
"US";"3";0;14
"US";"31";0;14
"US";"4";0;14
"US";"6";9;14
"US";"8";0;14
"JP";"10";1,125;15
"JP";"14";0;15
"JP";"15";1,125;15
"JP";"2";1,125;15
"JP";"23";0;15
"JP";"26";1,125;15
"JP";"27";1,125;15
"JP";"28";0;15
"JP";"35";0;15
"JP";"6";1,125;15
"US";"10";0;15
"US";"14";0;15
"US";"15";0;15
"US";"2";0;15
"US";"23";0;15
"US";"26";0;15
"US";"27";0;15
"US";"28";9;15
"US";"35";0;15
"US";"6";0;15
"JP";"10";1;16
"JP";"12";1;16
"JP";"13";0;16
"JP";"14";0;16
"JP";"16";0;16
"JP";"19";0;16
"JP";"2";1;16
"JP";"20";0;16
"JP";"21";0;16
"JP";"29";1;16
"JP";"31";0;16
"JP";"32";1;16
"JP";"34";0;16
"JP";"8";0;16
"US";"10";0;16
"US";"12";0;16
"US";"13";0;16
"US";"14";0;16
"US";"16";0;16
"US";"19";0;16
"US";"2";0;16
"US";"20";0;16
"US";"21";0;16
"US";"29";0;16
"US";"31";0;16
"US";"32";0;16
"US";"34";0;16
"US";"8";0;16
"JP";"1";0;17
"JP";"13";0;17
"JP";"16";0;17
"JP";"18";0;17
"JP";"25";0;17
"JP";"28";1;17
"JP";"29";0;17
"JP";"32";0;17
"JP";"33";0;17
"JP";"34";1;17
"JP";"35";1;17
"JP";"5";0;17
"JP";"6";0;17
"JP";"8";1;17
"JP";"9";1;17
"US";"1";0;17
"US";"13";0;17
"US";"16";0;17
"US";"18";0;17
"US";"25";0;17
"US";"28";0;17
"US";"29";0;17
"US";"32";0;17
"US";"33";0;17
"US";"34";0;17
"US";"35";0;17
"US";"5";0;17
"US";"6";0;17
"US";"8";0;17
"US";"9";0;17
"JP";"1";1,125;18
"JP";"10";1,125;18
"JP";"2";0;18
"JP";"25";0;18
"JP";"28";1,125;18
"JP";"30";1,125;18
"JP";"35";0;18
"JP";"5";1,125;18
"JP";"6";1,125;18
"JP";"8";1,125;18
"US";"1";0;18
"US";"10";0;18
"US";"2";0;18
"US";"25";9;18
"US";"28";0;18
"US";"30";0;18
"US";"35";0;18
"US";"5";0;18
"US";"6";0;18
"US";"8";0;18
"JP";"1";1;19
"JP";"10";1;19
"JP";"13";0;19
"JP";"2";1;19
"JP";"25";1;19
"JP";"3";1;19
"JP";"30";1;19
"JP";"32";0;19
"JP";"6";0;19
"JP";"9";1;19
"US";"1";0;19
"US";"10";0;19
"US";"13";0;19
"US";"2";0;19
"US";"25";0;19
"US";"3";0;19
"US";"30";0;19
"US";"32";0;19
"US";"6";0;19
"US";"9";0;19
"JP";"1";1,11111111111111;20
"JP";"26";1,11111111111111;20
"JP";"29";1,11111111111111;20
"JP";"32";1,11111111111111;20
"JP";"6";1,11111111111111;20
