"ctry_code";"techn_field_nr";"n_tech_reg"
"AD";20;1
"AD";24;1
"AD";28;3
"AD";32;1
"AD";33;1
"AD";34;3
"AE";10;1
"AE";12;1
"AE";21;1
"AE";27;2
"AE";29;0,5
"AE";35;5,5
"AG";1;1
"AG";32;1
"AI";14;0,0833333333333333
"AI";15;0,0833333333333333
"AI";16;0,0833333333333333
"AI";30;0,5
"AI";35;0,5
"AI_pat";1;1,75
"AI_pat";2;2,25
"AI_pat";3;3,53333333333333
"AI_pat";4;2,75
"AI_pat";5;12,9166666666667
"AI_pat";6;279,433333333333
"AI_pat";7;21,2833333333333
"AI_pat";8;11,4166666666667
"AI_pat";9;4,2
"AI_pat";10;29,1166666666667
"AI_pat";11;1,41666666666667
"AI_pat";12;32,4833333333333
"AI_pat";13;4,25
"AI_pat";17;0,2
"AI_pat";20;2,5
"AI_pat";23;1,33333333333333
"AI_pat";24;1,5
"AI_pat";25;1,75
"AI_pat";26;3,33333333333333
"AI_pat";27;5,31666666666667
"AI_pat";29;2,7
"AI_pat";30;3,45
"AI_pat";31;0,333333333333333
"AI_pat";32;4,03333333333333
"AI_pat";35;1,75
"AL";15;1,5
"AL";17;1,5
"AL";29;0,666666666666667
"AL";30;2
"AL";35;1
"AM";1;1
"AN";16;1
"AN";23;0,416666666666667
"AN";24;0,25
"AN";30;0,166666666666667
"AN";32;1
"AR";1;10,7777777777778
"AR";2;7,33333333333333
"AR";3;6,5
"AR";4;1
"AR";5;1,75
"AR";6;1,66666666666667
"AR";8;0,416666666666667
"AR";9;3,1
"AR";10;11,6833333333333
"AR";11;1
"AR";12;6
"AR";13;19,75
"AR";14;18,5
"AR";15;4,475
"AR";16;6,475
"AR";17;3,66666666666667
"AR";18;6,5
"AR";19;4,25
"AR";20;7,20833333333333
"AR";21;3,33333333333333
"AR";23;12,3333333333333
"AR";24;4
"AR";25;15,4444444444444
"AR";26;4,95833333333333
"AR";27;23,375
"AR";28;9,5
"AR";29;36,6666666666667
"AR";30;15,3333333333333
"AR";31;11,5277777777778
"AR";32;17,4583333333333
"AR";33;17
"AR";34;19,3333333333333
"AR";35;25,8333333333333
"AS";29;1
"AT";1;758,020833333333
"AT";2;298,6
"AT";3;197,526862026862
"AT";4;23,4722222222222
"AT";5;131,45
"AT";6;63,2777777777778
"AT";7;0,916666666666667
"AT";8;28,2261111111111
"AT";9;279,021759259259
"AT";10;461,04126984127
"AT";11;38,2539682539683
"AT";12;129,835317460317
"AT";13;303,341666666667
"AT";14;447,286279461279
"AT";15;140,429894179894
"AT";16;241,466438191438
"AT";17;246,538425925926
"AT";18;80,2111111111111
"AT";19;394,743108465608
"AT";20;725,255357142857
"AT";21;184,945555555556
"AT";23;439,431349206349
"AT";24;273,836111111111
"AT";25;486,544444444444
"AT";26;762,834444444444
"AT";27;536,583333333333
"AT";28;344,588888888889
"AT";29;799,1275
"AT";30;451,308333333333
"AT";31;571,808333333333
"AT";32;705,125
"AT";33;923,75
"AT";34;248,630555555556
"AT";35;1272,54722222222
"AU";1;1402,51071428571
"AU";2;605,747916666667
"AU";3;408,716666666667
"AU";4;47,5333333333333
"AU";5;178,116666666667
"AU";6;271,841666666667
"AU";7;9,75
"AU";8;80,7291666666667
"AU";9;509,356746031746
"AU";10;1320,97291666667
"AU";11;149,006944444444
"AU";12;658,702380952381
"AU";13;1179,83452380952
"AU";14;1126,53293650794
"AU";15;299,493452380952
"AU";16;593,427380952381
"AU";17;519,988492063492
"AU";18;536,734523809524
"AU";19;1113,41587301587
"AU";20;974,580555555556
"AU";21;552,472222222222
"AU";23;1554,11944444444
"AU";24;537,972222222222
"AU";25;2443,27380952381
"AU";26;1606,82410714286
"AU";27;1203,45952380952
"AU";28;637,939285714286
"AU";29;3156,19017857143
"AU";30;1160,85833333333
"AU";31;2063,88333333333
"AU";32;2633,99166666667
"AU";33;2437,68571428571
"AU";34;1222,88968253968
"AU";35;4339,00238095238
"AZ";10;1
