"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AD";"1";1,04140653270721;NA;"2014-2018"
"AE";"1";0,617285323822419;0;"2014-2018"
"AF";"1";0;NA;"2014-2018"
"AM";"1";0,59916540237949;0;"2014-2018"
"AO";"1";7,28984572895047;NA;"2014-2018"
"AR";"1";0,547360430160103;0;"2014-2018"
"AT";"1";1,46720654270112;0;"2014-2018"
"AU";"1";0,608925336719407;0;"2014-2018"
"AX";"1";0;NA;"2014-2018"
"AZ";"1";0;NA;"2014-2018"
"BA";"1";2,65085299234562;NA;"2014-2018"
"BD";"1";1,06034119693825;0;"2014-2018"
"BE";"1";0,616642273620506;0;"2014-2018"
"BG";"1";0,798887203172654;0;"2014-2018"
"BJ";"1";0;NA;"2014-2018"
"BN";"1";1,82246143223762;NA;"2014-2018"
"BQ";"1";14,5796914579009;NA;"2014-2018"
"BR";"1";0,56655485522681;0;"2014-2018"
"BS";"1";0;NA;"2014-2018"
"BW";"1";0;NA;"2014-2018"
"BY";"1";0,382239101892534;0;"2014-2018"
"CA";"1";0,650101058243931;0,448390410958904;"2014-2018"
"CH";"1";1,03404876916091;0;"2014-2018"
"CL";"1";0,353630769942157;0;"2014-2018"
"CM";"1";0;NA;"2014-2018"
"CN";"1";0,944571850221586;1,20326249282022;"2014-2018"
"CO";"1";0,499615595130562;0;"2014-2018"
"CR";"1";0,331356624043203;0;"2014-2018"
"CY";"1";0,539988572514849;0;"2014-2018"
"CZ";"1";0,929078269455204;0;"2014-2018"
"DD";"1";0;NA;"2014-2018"
"DE";"1";1,35620122582191;1,03094488188976;"2014-2018"
"DK";"1";0,691366122131983;0;"2014-2018"
"DO";"1";4,85989715263364;NA;"2014-2018"
"DZ";"1";2,24302945506168;NA;"2014-2018"
"EC";"1";2,65085299234562;0;"2014-2018"
"EE";"1";0,662713248086406;NA;"2014-2018"
"EG";"1";0,531551251069305;0;"2014-2018"
"ES";"1";0,829911284015964;0;"2014-2018"
"ET";"1";0;0;"2014-2018"
"FI";"1";0,78157664629028;1,92544117647059;"2014-2018"
"FL";"1";0;NA;"2014-2018"
"FO";"1";1,82246143223762;NA;"2014-2018"
"FR";"1";1,02123173201054;0;"2014-2018"
"GB";"1";0,804016803000878;0;"2014-2018"
"GD";"1";0;NA;"2014-2018"
"GE";"1";1,45796914579009;0;"2014-2018"
"GH";"1";0;NA;"2014-2018"
"GL";"1";0;NA;"2014-2018"
"GR";"1";0,540927683075745;0;"2014-2018"
"HK";"1";2,43375131274298;0;"2014-2018"
"HR";"1";1,14638702995592;0;"2014-2018"
"HU";"1";1,0759344498344;0;"2014-2018"
"ID";"1";0,335165320871286;0;"2014-2018"
"IE";"1";0,436347304530542;0;"2014-2018"
"IL";"1";0,385857976029312;0;"2014-2018"
"IM";"1";0;NA;"2014-2018"
"IN";"1";0,475977463770007;0,348218085106383;"2014-2018"
"IQ";"1";2,42994857631682;NA;"2014-2018"
"IR";"1";0,679340462196101;0;"2014-2018"
"IS";"1";0,295534286308803;0;"2014-2018"
"IT";"1";0,82946698252281;0;"2014-2018"
"JE";"1";0,971979430526729;NA;"2014-2018"
"JM";"1";0,767352181994786;NA;"2014-2018"
"JO";"1";0,441808832057604;NA;"2014-2018"
"JP";"1";1,42476102395915;1,6497479954181;"2014-2018"
"KE";"1";0,717034006126275;NA;"2014-2018"
"KH";"1";0;NA;"2014-2018"
"KP";"1";0;NA;"2014-2018"
"KR";"1";1,22603611431917;0,544533271719039;"2014-2018"
"KW";"1";0,532591468781769;NA;"2014-2018"
"KY";"1";0,344402160422857;0;"2014-2018"
"KZ";"1";2,31264071401187;NA;"2014-2018"
"LA";"1";0;NA;"2014-2018"
"LB";"1";0,383676090997393;NA;"2014-2018"
"LI";"1";0,386216992262276;NA;"2014-2018"
"LK";"1";0,455615358059404;0;"2014-2018"
"LT";"1";0,499060343302232;NA;"2014-2018"
"LU";"1";0,568039926931205;0;"2014-2018"
"LV";"1";0,816965469623759;0;"2014-2018"
"MA";"1";1,09347685934257;NA;"2014-2018"
"MC";"1";0,497034936064804;NA;"2014-2018"
"MD";"1";1,53470436398957;NA;"2014-2018"
"MG";"1";3,64492286447523;NA;"2014-2018"
"MK";"1";1,04140653270721;NA;"2014-2018"
"MN";"1";0,560757363765421;0;"2014-2018"
"MO";"1";0,940625255348447;0;"2014-2018"
"MT";"1";1,68227209129626;0;"2014-2018"
"MU";"1";4,85989715263364;NA;"2014-2018"
"MX";"1";0,596911033478247;0;"2014-2018"
"MY";"1";0,849871461867592;0;"2014-2018"
"NC";"1";2,42994857631682;NA;"2014-2018"
"NE";"1";2,91593829158019;NA;"2014-2018"
"NG";"1";1,16637531663207;NA;"2014-2018"
"NL";"1";0,912843513846452;0;"2014-2018"
"NO";"1";0,752632873567241;0;"2014-2018"
"NP";"1";0;NA;"2014-2018"
"NY";"1";0;0;"2014-2018"
"NZ";"1";0,760778292585173;0;"2014-2018"
"OA";"1";0;NA;"2014-2018"
"OM";"1";0,694271021804806;NA;"2014-2018"
"PA";"1";0,302169771148206;NA;"2014-2018"
"PE";"1";0,502747981306929;NA;"2014-2018"
"PH";"1";1,80417586602787;0;"2014-2018"
"PK";"1";0,6763774387686;0;"2014-2018"
"PL";"1";0,753523346894153;0;"2014-2018"
"PR";"1";1,12151472753084;NA;"2014-2018"
"PT";"1";0,453885611066012;0;"2014-2018"
"QA";"1";0,490073662450452;0;"2014-2018"
"RO";"1";1,00381861114453;0;"2014-2018"
"RS";"1";0,664025551547963;0;"2014-2018"
"RU";"1";0,511102135131229;0;"2014-2018"
"SA";"1";0,465605017959658;0;"2014-2018"
"SC";"1";0;NA;"2014-2018"
"SE";"1";0,599810683901295;0;"2014-2018"
"SG";"1";1,05615733345377;0;"2014-2018"
"SI";"1";1,34722285985302;0;"2014-2018"
"SK";"1";0,877098351042848;NA;"2014-2018"
"SN";"1";2,08281306541442;NA;"2014-2018"
"SR";"1";0;NA;"2014-2018"
"SV";"1";7,28984572895047;NA;"2014-2018"
"TC";"1";4,85989715263364;NA;"2014-2018"
"TH";"1";0,651606322140824;NA;"2014-2018"
"TJ";"1";0;NA;"2014-2018"
"TN";"1";1,88125051069689;0;"2014-2018"
"TR";"1";0,674628231919597;0;"2014-2018"
"TT";"1";0;NA;"2014-2018"
"TW";"1";1,36211173737616;0;"2014-2018"
"TX";"1";0;NA;"2014-2018"
"TZ";"1";0;NA;"2014-2018"
"UA";"1";0,4509182925124;0;"2014-2018"
"UK";"1";0;NA;"2014-2018"
"US";"1";0,698179418176176;0,226001150747986;"2014-2018"
"UY";"1";0;NA;"2014-2018"
"UZ";"1";0,441808832057604;0;"2014-2018"
"VE";"1";1,04140653270721;NA;"2014-2018"
"VG";"1";0;NA;"2014-2018"
"VN";"1";0,956045341501701;0;"2014-2018"
"WS";"1";0,911230716118808;NA;"2014-2018"
"YE";"1";3,64492286447523;NA;"2014-2018"
"YU";"1";14,5796914579009;NA;"2014-2018"
"ZA";"1";0,880061858625811;0;"2014-2018"
"ZM";"1";7,28984572895047;NA;"2014-2018"
"ZW";"1";3,64492286447523;NA;"2014-2018"
"ZZ";"1";0;NA;"2014-2018"
"BB";"1";0;NA;"2014-2018"
"GA";"1";0;NA;"2014-2018"
"GT";"1";0;NA;"2014-2018"
"KN";"1";0;NA;"2014-2018"
"MH";"1";0;NA;"2014-2018"
"NI";"1";0;NA;"2014-2018"
"RE";"1";0;NA;"2014-2018"
"SD";"1";0;NA;"2014-2018"
"SJ";"1";0;NA;"2014-2018"
"SL";"1";0;NA;"2014-2018"
"SO";"1";0;NA;"2014-2018"
"TG";"1";0;NA;"2014-2018"
"VA";"1";0;NA;"2014-2018"
"ZJ";"1";0;NA;"2014-2018"
"AG";"1";0;NA;"2014-2018"
"BH";"1";0;NA;"2014-2018"
"CU";"1";0;NA;"2014-2018"
"ME";"1";0;NA;"2014-2018"
"SU";"1";0;NA;"2014-2018"
"BM";"1";0;NA;"2014-2018"
"BZ";"1";0;NA;"2014-2018"
"CV";"1";0;NA;"2014-2018"
"CW";"1";0;NA;"2014-2018"
"FJ";"1";0;NA;"2014-2018"
"GI";"1";0;NA;"2014-2018"
"MM";"1";0;NA;"2014-2018"
"MQ";"1";0;NA;"2014-2018"
