"ctry_code";"techn_field_nr";"n_tech_reg"
"DE";1;22444,476770451
"FR";9;1206,25238095238
"FR";29;3770,62582611835
"US";18;4230,18409692164
"FR";31;3678,50126262628
"FR";35;4267,98055555557
"FR";25;3627,23737373739
"FR";13;1717,56944444445
"FR";23;2356,86900793649
"FR";18;795,325000000002
"FR";33;1864,63888888889
"FR";28;1316,92487373737
"FR";34;1751,38174603174
"JP";13;31292,3396825342
"DE";13;9561,99828643594
"DE";23;12915,2098737382
"DE";24;6573,34312770564
"DE";30;10179,5919552671
"FR";27;2148,73538961038
"FR";20;1872,33336580084
"FR";21;931,816699134202
"FR";2;1539,19563492063
"FR";6;1054,42658730159
"FR";26;2143,04967532467
"CA";35;3602,47777777779
"JP";1;201935,579563819
"FR";10;3242,15654761906
"FR";11;308,581349206346
"FR";32;3838,47348484851
"US";29;22477,8796356413
"CH";29;1338,3873015873
"US";33;16400,9718253973
"US";21;8414,63219419502
"US";25;18129,1938852816
"US";30;8892,80076312586
"FR";19;1430,95753968253
"DE";32;23412,7039682535
"MC";13;12,75
"JP";19;48036,9757325668
"JP";34;37952,2428571369
"FR";17;1090,14658730159
"NL";10;266,652777777778
"FR";1;4288,43300865805
"JP";31;59258,3209706779
"DE";27;14919,0035714296
"SE";29;1877,27599206349
"US";14;21779,8516727705
"US";19;17343,3454942281
"GB";20;1045,96964285714
"GB";21;809,483730158731
"DE";20;8515,19222222241
"GB";2;1755,56873015873
"GB";9;1472,13976190476
"GB";19;1697,32837301586
"DE";6;3281,83594877346
"DE";29;18120,1199603181
"US";26;16520,3243181823
"CH";16;526,994246031747
"CH";17;300,904206349205
"IT";21;618,547222222222
"IT";29;3994,33333333335
"US";8;7845,6189929515
"US";9;13247,081349207
"DE";21;4882,86168387176
"US";23;16340,9854413182
"US";13;21070,910912698
"DE";9;7715,33332010572
"DE";17;8650,52168229964
"FR";30;1867,03333333333
"DE";35;22442,0349206344
"US";2;13622,2704292936
"DE";10;16740,9591727726
"US";17;14878,9816233774
"DE";28;11062,0625721505
"GB";8;511,255555555555
"DE";26;17388,3028571435
"GB";16;876,618091630589
"GB";17;604,894841269842
"CH";25;1927,375
"DE";31;19520,8244047622
"DE";34;8700,29411976918
"US";11;3133,43015873019
"US";15;5797,82210197231
"US";16;9016,20110398918
"NL";21;121,753373015873
"NL";26;240,918055555555
"CH";35;2278,94583333333
"CH";34;1115,05555555556
"FI";19;299,4
"FR";3;1140,26987179487
"BE";19;320,511984126984
"DE";25;17196,4357864363
"US";24;6109,20459956718
"DE";19;11536,2948846051
"JP";33;28803,2789682519
"GR";35;40,25
"GB";29;3072,62023809525
"US";34;12435,8270202023
"JP";10;124052,626785688
"JP";15;13829,1964826866
"JP";23;49969,078372984
"BE";14;420,230634920635
"BE";15;112,343650793651
"BE";16;192,070634920635
"JP";29;81269,9162087711
"JP";35;64223,5376983986
"JP";2;185609,363618567
"IT";31;2584,30416666667
"US";10;23490,9476587294
"JP";25;73093,4154151239
"JP";26;97599,5904151057
"FR";14;2825,0091269841
"FR";16;1420,52718253967
"IT";13;1572,63928571428
"IT";35;3667,28333333334
"US";20;11091,2687229442
"IT";25;3933,62222222224
"IT";23;1403,92559523809
"IT";33;2203,51666666666
"JP";30;68069,0365384418
