"ctry_code";"techn_field_nr";"n_tech_reg"
"SE";32;284,167857142857
"SE";13;175,542694805195
"DE";24;737,084783272284
"HU";4;51,0416666666667
"SE";4;569,424841269839
"DE";4;942,309992785
"NL";1;171,077182539682
"NL";8;74,5178571428572
"DE";6;1655,52718049923
"US";8;4202,21446626633
"CA";2;319,178535353534
"DE";13;1796,02719918969
"DE";27;3139,77010350759
"BE";27;22,725
"DE";25;1541,05801587302
"DE";29;1541,35746364746
"DK";27;148,516666666667
"DK";29;59,4444444444444
"CH";6;270,905513468014
"US";6;23079,1721707338
"CH";10;463,911706349205
"US";10;4934,81913785962
"DE";34;1054,68350122101
"US";14;1913,05691359263
"US";16;2651,83785686112
"SE";3;171,796997354497
"CA";8;51,1549963924965
"FR";31;765,056746031745
"BE";16;29,9099002849003
"FR";16;322,076974876974
"SE";1;160,376370851371
"SE";28;30,1972222222222
"RO";25;19,9027777777778
"IT";25;82,8244047619048
"RO";26;36,2083333333333
"IT";26;66,4325396825398
"DK";2;77,9055555555556
"DE";20;660,09585137085
"DE";26;1741,86845238095
"DE";30;984,188066100569
"US";13;9145,1056862119
"IT";29;68,4083994708996
"DE";1;4621,88966450221
"DE";32;5993,40042110658
"CH";1;264,585299422799
"CA";3;389,778978561122
"CA";15;97,8644568151147
"DE";16;353,542194590835
"NL";16;49,5238756613757
"DE";18;161,742063492063
"NL";18;102,493253968254
"DK";7;11,5055555555556
"CA";13;243,76130952381
"TW";8;1691,11309523811
"IT";13;99,6448412698413
"CH";14;62,6950073075075
"AU";14;197,825221755368
"CH";15;48,6919282106782
"AU";15;352,794327200575
"DE";31;3802,31527777781
"US";28;1046,12974858475
"DE";15;383,403385040883
"US";12;2840,01675519584
"IE";20;2,60281557067271
"IE";21;4,88826530612245
"IE";29;20,3329081632653
"DE";2;724,893315018319
"SE";5;27,5425
"GB";6;1169,50250473927
"DE";23;997,444401431901
"US";27;3370,66625694566
"FR";23;356,107976190475
"NL";13;208,193121693122
"IN";1;120,031547619048
"US";25;2715,96197089948
"GB";25;234,068386243386
"DE";12;946,524702380953
"CH";12;73,0847222222223
"NO";10;78,4472222222224
"ES";4;104,852380952381
"BE";24;19,9166666666667
"FR";24;340,298849206349
"FI";4;579,403095238096
"FR";32;2029,74513902763
"US";31;2631,30258721299
"US";32;3851,95679330588
"DE";5;273,810714285713
"AT";6;85,9662698412699
"AT";12;78,6781746031746
"AT";33;69,2333333333333
"FR";27;947,207936507942
"FR";10;825,37698412699
"PL";2;50,3019841269841
"TR";16;77,4371212121212
"DK";30;30,775
"US";15;2192,89627665739
"DE";17;349,176258741258
"US";17;771,251256613752
"US";29;3360,52930808283
"CH";13;255,477915602916
"BE";14;25,202207977208
"BE";18;13,8095238095238
"BE";23;24,6886016761017
"DE";19;647,200585340586
"FI";3;141,611693121693
"IT";3;51,063492063492
"FR";11;107,127182539683
"NL";9;101,287962962963
"NL";12;47,5472222222222
"CH";30;73,2873015873016
"CH";33;155,956349206349
"CH";34;134,2825
"US";1;5923,5727393294
"US";24;1147,88878427128
"US";35;3740,99063311689
"SE";6;291,952619047619
"AT";14;12,3693542568543
"AT";20;57,3253968253969
"BE";6;98,631746031746
"FR";6;1031,40327380953
"SE";15;18,906746031746
"FR";25;482,586544011545
"BE";19;46,2469576719577
"GB";27;338,024007936508
"BE";25;30,7144841269841
"IN";18;26,5357142857143
"IN";29;23,3827735260771
"IN";33;19,8166666666667
"US";18;963,967974544945
"ZA";20;7,64090909090909
"IL";7;117,587103174603
"AT";29;109,718686868687
"DE";33;864,508333333334
"DK";25;38,7083333333333
"IE";15;10,4206349206349
"ES";1;165,100793650793
"US";30;1202,61223544973
"FR";1;1149,4417965368
"FR";8;365,075549450549
"FI";1;121,355158730159
"DE";10;2850,49696067822
"FR";21;192,787182539682
"FR";35;854,62070707071
"IT";12;33,7853174603174
"NL";21;41,8726851851852
"DE";9;762,283333333336
"FR";9;241,18115079365
"ES";12;87,8559523809523
"ES";29;143,856102693602
"AT";15;35,5754148629148
"DE";35;1725,29267607393
"CA";10;258,678433828077
"BE";29;58,5020202020202
"FR";4;661,049007936507
"IT";18;36,9273809523809
"IL";6;1132,44185269065
"AT";25;89,1464285714286
"AT";26;79,6666666666666
"SE";9;25,6777777777778
"JP";9;15855,1515151533
"FR";3;354,113293650794
