"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"AD";20;18;20;19;"2nd"
"AE";48;48;48;48;"2nd"
"AF";NA;NA;NA;NA;"2nd"
"AG";10;10;10;10;"2nd"
"AI";2;2;2;2;"2nd"
"AI_pat";23;25;23;24;"2nd"
"AL";22;22;22;22;"2nd"
"AM";31;32;31;32;"2nd"
"AN";42;40;42;41;"2nd"
"AO";2;3;2;2;"2nd"
"AP";NA;NA;NA;NA;"2nd"
"AR";43;38;43;38;"2nd"
"AS";0;0;0;0;"2nd"
"AT";52;51;52;51;"2nd"
"AU";38;34;38;34;"2nd"
"AW";5;4;5;4;"2nd"
"AZ";47;48;47;48;"2nd"
"BA";24;24;24;24;"2nd"
"BB";18;15;19;15;"2nd"
"BD";3;3;3;3;"2nd"
"BE";41;40;40;41;"2nd"
"BF";2;3;2;3;"2nd"
"BG";50;52;50;52;"2nd"
"BH";35;34;36;33;"2nd"
"BI";NA;NA;NA;NA;"2nd"
"BJ";6;8;6;6;"2nd"
"BM";24;24;24;24;"2nd"
"BN";0;0;0;0;"2nd"
"BO";32;30;32;31;"2nd"
"BR";44;41;44;41;"2nd"
"BS";18;16;18;16;"2nd"
"BT";0;0;0;0;"2nd"
"BU";6;4;6;4;"2nd"
"BW";1;1;1;1;"2nd"
"BY";58;62;58;62;"2nd"
"BZ";5;5;5;5;"2nd"
"CA";42;39;42;39;"2nd"
"CC";0;0;0;0;"2nd"
"CF";0;0;0;0;"2nd"
"CG";0;0;0;0;"2nd"
"CH";54;53;54;54;"2nd"
"CI";22;23;22;23;"2nd"
"CK";NA;NA;NA;NA;"2nd"
"CL";42;41;42;41;"2nd"
"CM";10;12;10;12;"2nd"
"CN";45;46;44;47;"2nd"
"CO";33;32;33;33;"2nd"
"CR";28;24;28;25;"2nd"
"CS";45;46;44;46;"2nd"
"CU";29;26;30;28;"2nd"
"CV";NA;NA;NA;NA;"2nd"
"CY";36;32;36;32;"2nd"
"CZ";49;49;49;49;"2nd"
"DD";43;44;43;45;"2nd"
"DE";61;62;61;63;"2nd"
"DJ";NA;NA;NA;NA;"2nd"
"DK";37;35;37;36;"2nd"
"DM";NA;NA;NA;NA;"2nd"
"DO";18;18;18;19;"2nd"
"DZ";31;33;31;33;"2nd"
"EC";20;16;20;17;"2nd"
"EE";45;47;45;47;"2nd"
"EG";47;46;47;46;"2nd"
"EP";0;0;0;0;"2nd"
"ES";54;52;54;52;"2nd"
"ET";4;4;4;4;"2nd"
"FI";36;35;36;35;"2nd"
"FJ";5;6;5;6;"2nd"
"FO";9;7;9;7;"2nd"
"FR";46;42;46;43;"2nd"
"GA";6;8;6;7;"2nd"
"GB";53;49;53;50;"2nd"
"GC";NA;NA;NA;NA;"2nd"
"GD";8;10;8;10;"2nd"
"GE";38;38;38;39;"2nd"
"GF";NA;NA;NA;NA;"2nd"
"GH";7;8;7;8;"2nd"
"GI";23;19;23;20;"2nd"
"GL";0;0;0;0;"2nd"
"GM";4;5;4;5;"2nd"
