"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"AB";NA;NA;NA;NA;"3rd"
"AD";49;50;49;50;"3rd"
"AE";46;47;46;46;"3rd"
"AF";0;0;0;0;"3rd"
"AG";15;16;15;16;"3rd"
"AI";12;10;12;11;"3rd"
"AI_pat";26;27;26;26;"3rd"
"AL";30;28;30;28;"3rd"
"AM";42;44;42;44;"3rd"
"AN";27;26;27;26;"3rd"
"AO";11;13;11;14;"3rd"
"AP";0;0;0;0;"3rd"
"AR";40;37;40;37;"3rd"
"AS";NA;NA;NA;NA;"3rd"
"AT";51;49;51;49;"3rd"
"AU";40;40;41;40;"3rd"
"AW";22;22;22;22;"3rd"
"AX";NA;NA;NA;NA;"3rd"
"AZ";21;19;21;20;"3rd"
"BA";30;27;30;28;"3rd"
"BB";19;15;19;15;"3rd"
"BC";NA;NA;NA;NA;"3rd"
"BD";31;31;31;31;"3rd"
"BE";43;40;43;40;"3rd"
"BF";0;0;0;0;"3rd"
"BG";36;34;36;34;"3rd"
"BH";44;43;44;43;"3rd"
"BI";4;6;4;6;"3rd"
"BJ";7;7;7;7;"3rd"
"BL";0;0;0;0;"3rd"
"BM";42;39;42;40;"3rd"
"BN";30;30;30;29;"3rd"
"BO";21;21;21;22;"3rd"
"BQ";0;0;0;0;"3rd"
"BR";58;57;59;58;"3rd"
"BS";25;23;25;24;"3rd"
"BT";1;0;1;0;"3rd"
"BU";0;0;0;0;"3rd"
"BW";1;1;1;1;"3rd"
"BY";48;48;48;47;"3rd"
"BZ";30;29;30;29;"3rd"
"CA";40;36;40;36;"3rd"
"CD";15;14;15;14;"3rd"
"CF";NA;NA;NA;NA;"3rd"
"CG";12;14;12;13;"3rd"
"CH";43;43;43;44;"3rd"
"CI";20;18;20;19;"3rd"
"CK";NA;NA;NA;NA;"3rd"
"CL";57;57;57;57;"3rd"
"CM";21;20;21;21;"3rd"
"CN";58;61;58;60;"3rd"
"CO";39;37;39;37;"3rd"
"CR";24;21;24;21;"3rd"
"CS";24;25;24;26;"3rd"
"CT";NA;NA;NA;NA;"3rd"
"CU";34;35;34;35;"3rd"
"CV";17;16;17;16;"3rd"
"CW";2;2;2;2;"3rd"
"CX";NA;NA;NA;NA;"3rd"
"CY";37;34;37;34;"3rd"
"CZ";52;53;52;53;"3rd"
"DD";38;37;38;37;"3rd"
"DE";31;31;31;32;"3rd"
"DJ";NA;NA;NA;NA;"3rd"
"DK";34;32;34;32;"3rd"
"DM";0;0;0;0;"3rd"
"DO";21;19;21;20;"3rd"
"DZ";29;30;29;31;"3rd"
"EA";NA;NA;NA;NA;"3rd"
"EC";29;28;29;29;"3rd"
"EE";43;43;43;43;"3rd"
"EG";35;32;35;32;"3rd"
"EP";0;0;0;0;"3rd"
"ER";0;0;0;0;"3rd"
"ES";53;53;53;53;"3rd"
"ET";14;14;14;14;"3rd"
"FI";33;34;33;34;"3rd"
"FJ";4;5;4;5;"3rd"
"FK";NA;NA;NA;NA;"3rd"
"FL";1;1;1;1;"3rd"
"FM";0;0;0;0;"3rd"
"FO";21;19;21;19;"3rd"
"FR";32;30;32;31;"3rd"
"GA";22;24;22;24;"3rd"
"GB";47;44;48;44;"3rd"
"GD";4;3;4;3;"3rd"
"GE";37;33;37;33;"3rd"
"GF";NA;NA;NA;NA;"3rd"
"GG";0;0;0;0;"3rd"
"GH";23;23;23;23;"3rd"
"GI";16;14;16;14;"3rd"
"GL";3;3;3;3;"3rd"
"GM";NA;NA;NA;NA;"3rd"
"GN";8;7;8;7;"3rd"
"GP";14;14;14;14;"3rd"
"GQ";NA;NA;NA;NA;"3rd"
"GR";44;42;44;41;"3rd"
"GT";32;29;32;29;"3rd"
"GU";0;0;0;0;"3rd"
"GY";NA;NA;NA;NA;"3rd"
"HA";NA;NA;NA;NA;"3rd"
"HK";43;40;43;40;"3rd"
"HN";13;12;13;12;"3rd"
"HR";46;45;46;45;"3rd"
"HT";0;0;0;0;"3rd"
"HU";45;43;45;44;"3rd"
"IB";NA;NA;NA;NA;"3rd"
"ID";55;54;55;54;"3rd"
"IE";30;27;30;27;"3rd"
"IL";22;19;23;19;"3rd"
"IM";17;18;17;18;"3rd"
"IN";29;30;29;31;"3rd"
"IO";0;0;0;0;"3rd"
"IQ";26;27;26;27;"3rd"
"IR";53;56;53;55;"3rd"
"IS";21;17;21;17;"3rd"
"IT";46;43;46;43;"3rd"
"JE";33;32;33;31;"3rd"
"JM";39;39;39;40;"3rd"
"JO";29;29;29;29;"3rd"
"JP";46;47;46;46;"3rd"
"KE";20;20;20;19;"3rd"
"KG";37;39;37;38;"3rd"
"KH";26;29;26;29;"3rd"
"KI";NA;NA;NA;NA;"3rd"
"KM";NA;NA;NA;NA;"3rd"
"KN";21;23;21;22;"3rd"
"KP";27;24;27;24;"3rd"
"KR";38;36;38;36;"3rd"
"KS";NA;NA;NA;NA;"3rd"
"KW";36;36;37;35;"3rd"
"KY";11;9;11;9;"3rd"
"KZ";26;26;25;26;"3rd"
"LA";11;9;11;10;"3rd"
"LB";39;37;39;36;"3rd"
"LC";NA;NA;NA;NA;"3rd"
"LI";28;27;28;28;"3rd"
"LK";36;33;36;33;"3rd"
"LN";NA;NA;NA;NA;"3rd"
"LR";0;0;0;0;"3rd"
"LS";NA;NA;NA;NA;"3rd"
"LT";44;45;44;46;"3rd"
"LU";32;29;32;28;"3rd"
"LV";54;55;54;55;"3rd"
"LY";15;16;15;16;"3rd"
"MA";32;30;32;31;"3rd"
"MC";24;22;24;23;"3rd"
"MD";35;34;35;34;"3rd"
"ME";35;37;35;37;"3rd"
"MG";30;28;30;28;"3rd"
"MH";11;9;11;9;"3rd"
"MI";NA;NA;NA;NA;"3rd"
"MK";39;36;39;36;"3rd"
"ML";16;18;16;18;"3rd"
"MM";12;11;12;11;"3rd"
"MN";41;42;41;42;"3rd"
"MO";43;46;43;44;"3rd"
