"appln_id";"ctry_code";"techn_field_nr";"weight";"priority_year"
459306;"KR";8;"10";2006
459308;"KR";8;"10";2006
459323;"KR";2;"10";2007
459323;"KR";2;"10";2007
459323;"KR";2;"10";2007
459323;"KR";2;"10";2007
459323;"KR";2;"10";2007
459323;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459325;"KR";2;"10";2007
459342;"KR";18;"10";2007
459342;"KR";18;"10";2007
459342;"KR";18;"10";2007
459342;"KR";18;"10";2007
459342;"KR";18;"10";2007
459342;"KR";18;"10";2007
459357;"KR";33;"10";2008
459372;"KR";26;"10";2007
459389;"KR";18;"10";2007
459391;"KR";18;"10";2007
459406;"KR";28;"10";2008
459406;"KR";28;"10";2008
459408;"KR";6;"10";2007
459408;"KR";6;"10";2007
459425;"KR";18;"10";2007
459440;"KR";6;"10";2006
459455;"KR";8;"10";2007
459455;"KR";8;"10";2007
459455;"KR";8;"10";2007
459455;"KR";8;"10";2007
459455;"KR";8;"10";2007
459459;"KR";15;"10";2007
459459;"KR";15;"10";2007
459459;"KR";15;"10";2007
459472;"KR";19;"10";2007
459472;"KR";19;"10";2007
459474;"KR";33;"10";2007
459489;"KR";33;"10";2007
459491;"KR";19;"10";2007
459508;"KR";35;"10";2008
459523;"KR";1;"10";2008
459542;"KR";8;"5";2007
459542;"KR";8;"5";2007
459542;"KR";8;"5";2007
459542;"KR";10;"5";2007
459542;"KR";10;"5";2007
459542;"KR";10;"5";2007
459557;"KR";6;"10";2007
459572;"KR";28;"10";2007
459574;"KR";28;"10";2007
459591;"KR";3;"10";2007
459606;"KR";23;"10";2007
459625;"KR";21;"10";2007
459625;"IN";21;"10";2007
459625;"KR";21;"10";2007
459625;"KR";21;"10";2007
459640;"KR";3;"10";2007
459657;"KR";9;"10";2007
459657;"KR";9;"10";2007
459674;"KR";35;"10";2007
459689;"KR";29;"10";2007
459708;"KR";34;"10";2007
459723;"KR";34;"10";2007
459740;"KR";2;"10";2007
459740;"KR";2;"10";2007
459757;"KR";34;"10";2007
459791;"KR";8;"10";2007
459791;"KR";8;"10";2007
459791;"KR";8;"10";2007
459806;"KR";8;"10";2007
459810;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459823;"KR";8;"10";2007
459840;"KR";3;"10";2007
459874;"KR";8;"10";2007
459874;"KR";8;"10";2007
459874;"KR";8;"10";2007
459874;"KR";8;"10";2007
459874;"KR";8;"10";2007
459893;"KR";15;"10";2007
459893;"KR";15;"10";2007
459893;"KR";15;"10";2007
459893;"KR";15;"10";2007
459893;"KR";15;"10";2007
